Sequência,veiPlaca,Tipo Dispositivo,IMEI,GNSS UTC Time,Data/Hora Inclusão,Data/Hora Evento,Azimuth,delay,Latitude,Longitude,Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Tipo Mensagem,Hodômetro Total
2950,SUR6A68,385349,862689070242307,2025-06-11 23:58:56,2025-06-12 00:01:09.730,2025-06-12 00:01:09,65.00000,0,-23.50797,-47.60227,8,Válido,0,12908,0,760,Modo Econômico,1917.80
2951,SUR6A68,385349,862689070242307,2025-06-12 00:58:51,2025-06-12 01:01:09.573,2025-06-12 01:01:09,65.00000,0,-23.50797,-47.60227,5,Válido,0,12908,0,760,Modo Econômico,1917.80
2952,SUR6A68,385349,862689070242307,2025-06-12 01:59:07,2025-06-12 02:01:09.517,2025-06-12 02:01:09,65.00000,0,-23.50797,-47.60227,6,Válido,0,12892,0,760,Modo Econômico,1917.80
2953,SUR6A68,385349,862689070242307,2025-06-12 03:58:46,2025-06-12 05:04:17.340,2025-06-12 04:01:05,187.00000,3792,-23.50832,-47.60270,6,Válido,0,12876,1,760,Modo Econômico,1917.80
2956,SUR6A68,385349,862689070242307,2025-06-12 04:11:44,2025-06-12 05:04:19.970,2025-06-12 04:11:44,57.00000,3155,-23.50809,-47.60206,12,Válido,0,12748,1,760,Modo Econômico,1917.80
2959,SUR6A68,385349,862689070242307,2025-06-12 04:22:45,2025-06-12 05:04:21.880,2025-06-12 04:22:45,354.00000,2496,-23.50777,-47.60199,9,Válido,0,12748,1,760,Modo Econômico,1917.80
2962,SUR6A68,385349,862689070242307,2025-06-12 04:33:46,2025-06-12 05:04:23.920,2025-06-12 04:33:46,155.00000,1837,-23.50811,-47.60196,8,Válido,0,12756,1,760,Modo Econômico,1917.80
2965,SUR6A68,385349,862689070242307,2025-06-12 04:44:50,2025-06-12 05:04:26.243,2025-06-12 04:44:51,61.00000,1175,-23.50799,-47.60174,11,Válido,0,12748,1,760,Modo Econômico,1917.80
2968,SUR6A68,385349,862689070242307,2025-06-12 04:55:49,2025-06-12 05:04:31.450,2025-06-12 04:55:49,0.00000,522,-23.50810,-47.60192,7,Válido,0,12748,1,760,Modo Econômico,1917.80
2969,SUR6A68,385349,862689070242307,2025-06-12 05:53:28,2025-06-12 05:56:47.947,2025-06-12 05:55:48,0.00000,59,-23.50810,-47.60192,8,Válido,0,12724,0,760,Modo Econômico,1917.80
2970,SUR6A68,385349,862689070242307,2025-06-12 05:53:28,2025-06-12 06:04:38.840,2025-06-12 06:04:38,0.00000,0,-23.50810,-47.60192,8,Válido,0,11875,0,667,GTIGN,1917.80
2975,SUR6A68,385349,862689070242307,2025-06-12 06:04:55,2025-06-12 06:04:55.783,2025-06-12 06:04:55,184.00000,0,-23.50693,-47.60160,7,Válido,3,13372,0,761,GTERI,1917.80
2982,SUR6A68,385349,862689070242307,2025-06-12 06:07:48,2025-06-12 06:07:53.897,2025-06-12 06:07:53,72.00000,0,-23.50786,-47.60231,15,Válido,0,14141,0,761,GTERI,1917.90
2985,SUR6A68,385349,862689070242307,2025-06-12 06:10:48,2025-06-12 06:10:53.887,2025-06-12 06:10:53,221.00000,0,-23.50575,-47.60586,13,Válido,28,14909,0,761,GTERI,1918.40
2988,SUR6A68,385349,862689070242307,2025-06-12 06:13:48,2025-06-12 06:13:53.697,2025-06-12 06:13:53,240.00000,0,-23.51895,-47.59725,14,Válido,45,13084,0,761,GTERI,1920.60
2990,SUR6A68,385349,862689070242307,2025-06-12 06:16:48,2025-06-12 06:16:53.863,2025-06-12 06:16:53,74.00000,0,-23.51000,-47.56114,18,Válido,79,12532,0,761,GTERI,1924.90
2991,SUR6A68,385349,862689070242307,2025-06-12 06:19:48,2025-06-12 06:20:09.970,2025-06-12 06:19:53,71.00000,16,-23.52560,-47.51832,18,Válido,93,12524,0,761,GTERI,1930.00
2992,SUR6A68,385349,862689070242307,2025-06-12 06:22:48,2025-06-12 06:22:53.957,2025-06-12 06:22:53,78.00000,0,-23.53146,-47.47483,16,Válido,101,14181,0,761,GTERI,1935.00
2995,SUR6A68,385349,862689070242307,2025-06-12 06:25:48,2025-06-12 06:25:53.803,2025-06-12 06:25:53,54.00000,0,-23.51660,-47.43111,15,Válido,104,14173,0,761,GTERI,1939.90
3000,SUR6A68,385349,862689070242307,2025-06-12 06:28:48,2025-06-12 06:28:53.670,2025-06-12 06:28:53,95.00000,0,-23.49469,-47.39922,14,Válido,84,14477,0,761,GTERI,1944.10
3004,SUR6A68,385349,862689070242307,2025-06-12 06:31:48,2025-06-12 06:31:53.937,2025-06-12 06:31:53,25.00000,0,-23.46450,-47.38128,14,Válido,107,14181,0,761,GTERI,1948.70
3008,SUR6A68,385349,862689070242307,2025-06-12 06:34:48,2025-06-12 06:34:53.870,2025-06-12 06:34:53,52.00000,0,-23.43656,-47.37493,14,Válido,24,14701,0,761,GTERI,1952.50
3012,SUR6A68,385349,862689070242307,2025-06-12 06:37:48,2025-06-12 06:37:53.863,2025-06-12 06:37:53,47.00000,0,-23.41568,-47.34542,13,Válido,76,12972,0,761,GTERI,1956.40
3016,SUR6A68,385349,862689070242307,2025-06-12 06:40:48,2025-06-12 06:41:49.607,2025-06-12 06:40:53,292.00000,56,-23.39689,-47.34712,13,Válido,100,14141,0,761,GTERI,1960.50
3018,SUR6A68,385349,862689070242307,2025-06-12 06:43:48,2025-06-12 06:43:54.490,2025-06-12 06:43:53,287.00000,1,-23.38057,-47.39763,14,Válido,105,14181,0,761,GTERI,1966.00
3020,SUR6A68,385349,862689070242307,2025-06-12 06:46:48,2025-06-12 06:46:54.877,2025-06-12 06:46:53,280.00000,1,-23.37157,-47.44784,15,Válido,98,12532,0,761,GTERI,1971.20
3021,SUR6A68,385349,862689070242307,2025-06-12 06:49:48,2025-06-12 06:50:12.543,2025-06-12 06:49:53,287.00000,19,-23.35788,-47.49771,16,Válido,110,14189,0,761,GTERI,1976.60
3025,SUR6A68,385349,862689070242307,2025-06-12 06:52:48,2025-06-12 06:52:54.037,2025-06-12 06:52:53,0.00000,1,-23.33262,-47.52920,17,Válido,80,12524,0,761,GTERI,1981.30
3028,SUR6A68,385349,862689070242307,2025-06-12 06:55:48,2025-06-12 06:58:08.453,2025-06-12 06:55:53,21.00000,135,-23.29779,-47.53241,16,Válido,71,14982,1,761,GTERI,1985.30
3035,SUR6A68,385349,862689070242307,2025-06-12 06:58:48,2025-06-12 06:59:34.113,2025-06-12 06:58:53,356.00000,41,-23.26606,-47.52099,18,Válido,80,14589,0,761,GTERI,1989.00
3039,SUR6A68,385349,862689070242307,2025-06-12 07:01:48,2025-06-12 07:01:57.057,2025-06-12 07:01:53,81.00000,4,-23.23385,-47.51471,16,Válido,83,14165,0,761,GTERI,1993.10
3041,SUR6A68,385349,862689070242307,2025-06-12 07:04:51,2025-06-12 07:05:09.530,2025-06-12 07:04:52,279.00000,17,-23.22660,-47.50995,16,Válido,0,14141,0,668,GTIGF,1995.00
3042,SUR6A68,385349,862689070242307,2025-06-12 07:04:52,2025-06-12 07:05:10.307,2025-06-12 07:04:52,279.00000,18,-23.22660,-47.50995,17,Válido,0,14141,0,760,Modo Econômico,1995.00
3047,SUR6A68,385349,862689070242307,2025-06-12 07:04:52,2025-06-12 07:57:17.070,2025-06-12 07:57:16,279.00000,1,-23.22660,-47.50995,17,Válido,0,12756,0,667,GTIGN,1995.00
3052,SUR6A68,385349,862689070242307,2025-06-12 07:57:29,2025-06-12 07:57:29.787,2025-06-12 07:57:29,142.00000,0,-23.22654,-47.50977,10,Válido,6,12348,0,761,GTERI,1995.00
3059,SUR6A68,385349,862689070242307,2025-06-12 08:00:23,2025-06-12 08:00:28.837,2025-06-12 08:00:28,272.00000,0,-23.23270,-47.52482,14,Válido,111,13701,0,761,GTERI,1997.20
