Dia,GTBTC,GTIGF,GTIGL,GTIGN,GTPDP,GTPNR,GTRTL,GTSTC,GTSTT,Modo Econômico,Posicionamento por tempo em movimento
01/07/2025,0,8,17,9,0,0,0,0,35,14,200
12/06/2025,0,20,40,20,23,4,0,0,68,26,803
13/06/2025,1,13,26,13,11,0,0,1,52,25,780
14/06/2025,0,11,22,11,1,0,0,0,50,33,205
15/06/2025,0,17,34,17,0,0,0,0,59,33,202
16/06/2025,0,19,38,19,10,0,0,0,63,31,562
17/06/2025,0,0,0,0,0,0,0,0,0,24,0
18/06/2025,0,8,16,8,5,0,0,0,26,25,361
19/06/2025,0,2,4,2,1,0,0,0,6,25,7
20/06/2025,0,2,4,2,0,0,0,0,6,26,6
21/06/2025,0,0,0,0,1,0,0,0,0,24,0
22/06/2025,0,1,2,1,0,0,0,0,3,24,0
23/06/2025,0,24,48,24,9,0,0,0,69,37,596
24/06/2025,0,29,58,29,16,0,0,0,101,39,874
25/06/2025,0,15,30,15,0,0,1,0,32,28,7
26/06/2025,0,10,20,10,9,0,0,0,37,25,451
27/06/2025,0,19,38,19,7,0,0,0,53,31,299
28/06/2025,0,0,0,0,0,0,0,0,0,24,0
29/06/2025,0,0,0,0,1,0,0,0,0,24,0
30/06/2025,0,25,50,25,7,0,0,0,82,31,552
