Tipo Mensagem,Data/Hora Inclusão,Data/Hora Evento,Delay,Log,Percentual_Logs_Total,Media_Delay_Logs,Mensagem_Maior_Delay,Maior_Delay_Encontrado
GTERI,2025-06-12 04:56:34,2025-06-12 04:01:04,3330.0,Sim,,,,
GTERI,2025-06-12 04:56:35,2025-06-12 04:01:04,3331.0,Sim,,,,
GTPDP,2025-06-12 05:06:30,2025-06-12 05:02:35,235.0,Sim,,,,
GTERI,2025-06-12 05:06:31,2025-06-12 05:01:04,327.0,Sim,,,,
GTERI,2025-06-12 06:15:13,2025-06-12 06:13:41,92.0,Sim,,,,
GTPNR,2025-06-12 06:15:14,2025-06-12 06:13:45,89.0,Sim,,,,
GTPNR,2025-06-12 06:15:15,2025-06-12 06:13:48,87.0,Sim,,,,
GTPNR,2025-06-12 06:15:15,2025-06-12 06:13:58,77.0,Sim,,,,
GTPNR,2025-06-12 06:15:16,2025-06-12 06:14:00,76.0,Sim,,,,
GTERI,2025-06-12 06:15:18,2025-06-12 06:14:02,76.0,Sim,,,,
GTERI,2025-06-12 06:15:19,2025-06-12 06:14:04,75.0,Sim,,,,
GTERI,2025-06-12 06:15:20,2025-06-12 06:14:06,74.0,Sim,,,,
GTERI,2025-06-12 06:15:21,2025-06-12 06:14:09,72.0,Sim,,,,
GTERI,2025-06-12 06:22:15,2025-06-12 06:21:08,67.0,Sim,,,,
GTERI,2025-06-12 06:48:02,2025-06-12 06:46:46,76.0,Sim,,,,
GTPDP,2025-06-12 08:34:03,2025-06-12 08:31:40,143.0,Sim,,,,
GTERI,2025-06-12 16:47:50,2025-06-12 16:46:28,82.0,Sim,,,,
GTERI,2025-06-12 16:47:50,2025-06-12 16:46:43,67.0,Sim,,,,
GTERI,2025-06-12 16:47:51,2025-06-12 16:46:45,66.0,Sim,,,,
GTPDP,2025-06-13 08:18:08,2025-06-13 08:16:29,99.0,Sim,,,,
GTERI,2025-06-13 08:18:10,2025-06-13 08:14:50,200.0,Sim,,,,
GTERI,2025-06-13 08:18:12,2025-06-13 08:16:33,99.0,Sim,,,,
GTERI,2025-06-13 08:18:15,2025-06-13 08:17:08,67.0,Sim,,,,
GTERI,2025-06-13 12:46:09,2025-06-13 12:45:08,61.0,Sim,,,,
GTPDP,2025-06-13 12:51:59,2025-06-13 12:50:57,62.0,Sim,,,,
GTERI,2025-06-13 12:51:59,2025-06-13 12:50:20,99.0,Sim,,,,
GTPDP,2025-06-13 12:54:21,2025-06-13 12:52:36,105.0,Sim,,,,
GTERI,2025-06-13 12:54:22,2025-06-13 12:52:36,106.0,Sim,,,,
GTERI,2025-06-13 15:32:26,2025-06-13 15:31:05,81.0,Sim,,,,
GTERI,2025-06-13 15:33:43,2025-06-13 15:31:05,158.0,Sim,,,,
GTPDP,2025-06-13 21:48:54,2025-06-13 21:47:44,70.0,Sim,,,,
GTERI,2025-06-13 21:48:54,2025-06-13 21:47:44,70.0,Sim,,,,
GTERI,2025-06-13 21:48:55,2025-06-13 21:47:48,67.0,Sim,,,,
GTERI,2025-06-16 16:52:46,2025-06-16 16:51:24,82.0,Sim,,,,
GTERI,2025-06-16 16:52:47,2025-06-16 16:51:31,76.0,Sim,,,,
GTERI,2025-06-16 16:54:22,2025-06-16 16:51:50,152.0,Sim,,,,
GTPDP,2025-06-23 06:46:39,2025-06-23 06:42:57,222.0,Sim,,,,
GTERI,2025-06-23 06:46:40,2025-06-23 06:44:57,103.0,Sim,,,,
GTPDP,2025-06-24 00:41:21,2025-06-24 00:39:54,87.0,Sim,,,,
GTERI,2025-06-24 00:48:19,2025-06-24 00:35:55,744.0,Sim,,,,
GTPDP,2025-06-24 01:38:18,2025-06-24 01:34:42,216.0,Sim,,,,
GTERI,2025-06-24 01:38:19,2025-06-24 01:35:55,144.0,Sim,,,,
GTPDP,2025-06-24 08:24:50,2025-06-24 08:20:39,251.0,Sim,,,,
GTERI,2025-06-24 08:24:51,2025-06-24 08:20:39,252.0,Sim,,,,
GTERI,2025-06-24 08:24:51,2025-06-24 08:22:14,157.0,Sim,,,,
GTERI,2025-06-24 08:24:52,2025-06-24 08:23:47,65.0,Sim,,,,
GTERI,2025-06-24 15:19:08,2025-06-24 15:17:39,89.0,Sim,,,,
GTPDP,2025-06-24 15:21:29,2025-06-24 15:19:44,105.0,Sim,,,,
GTERI,2025-06-24 15:21:30,2025-06-24 15:19:44,106.0,Sim,,,,
GTERI,2025-06-24 15:21:31,2025-06-24 15:19:49,102.0,Sim,,,,
GTPDP,2025-06-26 06:36:58,2025-06-26 06:35:21,97.0,Sim,,,,
GTERI,2025-06-26 06:36:58,2025-06-26 06:35:36,82.0,Sim,,,,
GTERI,2025-06-26 06:36:59,2025-06-26 06:35:38,81.0,Sim,,,,
GTERI,2025-06-26 06:36:59,2025-06-26 06:35:41,78.0,Sim,,,,
GTERI,2025-06-26 06:37:00,2025-06-26 06:35:44,76.0,Sim,,,,
GTERI,2025-06-26 15:06:12,2025-06-26 15:02:33,219.0,Sim,,,,
GTERI,2025-06-26 15:06:13,2025-06-26 15:03:19,174.0,Sim,,,,
GTERI,2025-06-26 15:06:13,2025-06-26 15:03:33,160.0,Sim,,,,
GTERI,2025-06-26 15:06:14,2025-06-26 15:04:56,78.0,Sim,,,,
GTPDP,2025-06-26 17:11:47,2025-06-26 17:10:36,71.0,Sim,,,,
GTERI,2025-06-26 17:14:11,2025-06-26 17:12:47,84.0,Sim,,,,
GTPDP,2025-06-30 15:28:24,2025-06-30 15:27:02,82.0,Sim,,,,
GTERI,2025-06-30 15:28:25,2025-06-30 15:27:02,83.0,Sim,,,,
GTERI,2025-06-30 15:28:25,2025-06-30 15:27:19,66.0,Sim,,,,
ESTATÍSTICAS,,,,,0.78%,221.41s,GTERI,3331.00s
