Data_Hora_Evento,Numero_Satelites,HDOP
2025-06-12 00:01:04,12.0,1.0
2025-06-12 01:01:04,11.0,1.0
2025-06-12 02:01:04,12.0,1.0
2025-06-12 02:17:24,12.0,0.0
2025-06-12 03:01:04,11.0,1.0
2025-06-12 04:01:04,12.0,1.0
2025-06-12 04:01:04,12.0,1.0
2025-06-12 05:02:35,12.0,0.0
2025-06-12 05:01:04,12.0,1.0
2025-06-12 05:08:33,12.0,0.0
2025-06-12 05:12:44,12.0,0.0
2025-06-12 06:01:04,11.0,1.0
2025-06-12 06:04:36,11.0,0.0
2025-06-12 06:04:36,11.0,0.0
2025-06-12 06:04:36,11.0,0.0
2025-06-12 06:04:36,11.0,0.0
2025-06-12 06:04:37,11.0,0.0
2025-06-12 06:04:37,11.0,0.0
2025-06-12 06:05:07,11.0,1.0
2025-06-12 06:05:07,11.0,1.0
2025-06-12 06:05:07,11.0,1.0
2025-06-12 06:05:07,11.0,1.0
2025-06-12 06:07:45,12.0,1.0
2025-06-12 06:10:42,12.0,1.0
2025-06-12 06:10:45,12.0,1.0
2025-06-12 06:11:41,12.0,1.0
2025-06-12 06:11:43,12.0,1.0
2025-06-12 06:12:58,12.0,1.0
2025-06-12 06:14:24,12.0,1.0
2025-06-12 06:13:41,12.0,1.0
2025-06-12 06:13:45,12.0,1.0
2025-06-12 06:13:48,12.0,1.0
2025-06-12 06:13:58,12.0,1.0
2025-06-12 06:14:00,12.0,1.0
2025-06-12 06:14:02,12.0,1.0
2025-06-12 06:14:04,12.0,1.0
2025-06-12 06:14:06,12.0,1.0
2025-06-12 06:14:09,12.0,1.0
2025-06-12 06:16:45,12.0,1.0
2025-06-12 06:17:17,12.0,1.0
2025-06-12 06:17:32,5.0,1.0
2025-06-12 06:17:46,12.0,1.0
2025-06-12 06:18:26,12.0,1.0
2025-06-12 06:19:22,12.0,1.0
2025-06-12 06:19:39,12.0,1.0
2025-06-12 06:19:45,12.0,1.0
2025-06-12 06:20:03,12.0,1.0
2025-06-12 06:20:15,12.0,1.0
2025-06-12 06:21:08,12.0,1.0
2025-06-12 06:21:08,12.0,1.0
2025-06-12 06:22:46,12.0,1.0
2025-06-12 06:25:08,12.0,1.0
2025-06-12 06:25:46,12.0,1.0
2025-06-12 06:28:42,12.0,1.0
2025-06-12 06:28:46,12.0,1.0
2025-06-12 06:29:34,12.0,1.0
2025-06-12 06:29:40,12.0,1.0
2025-06-12 06:31:14,12.0,1.0
2025-06-12 06:31:39,12.0,1.0
2025-06-12 06:31:46,12.0,1.0
2025-06-12 06:32:08,12.0,1.0
2025-06-12 06:32:22,12.0,1.0
2025-06-12 06:33:02,12.0,1.0
2025-06-12 06:33:19,12.0,1.0
2025-06-12 06:34:46,12.0,1.0
2025-06-12 06:37:46,12.0,1.0
2025-06-12 06:38:49,12.0,1.0
2025-06-12 06:39:36,12.0,1.0
2025-06-12 06:39:39,12.0,1.0
2025-06-12 06:39:42,12.0,1.0
2025-06-12 06:39:45,12.0,1.0
2025-06-12 06:40:09,12.0,1.0
2025-06-12 06:40:46,12.0,1.0
2025-06-12 06:41:27,12.0,1.0
2025-06-12 06:43:46,12.0,1.0
2025-06-12 06:46:46,12.0,1.0
2025-06-12 06:49:46,12.0,1.0
2025-06-12 06:51:59,12.0,1.0
2025-06-12 06:52:03,12.0,1.0
2025-06-12 06:52:46,12.0,1.0
2025-06-12 06:55:46,12.0,1.0
2025-06-12 06:58:46,12.0,1.0
2025-06-12 06:58:46,12.0,1.0
2025-06-12 07:01:29,12.0,1.0
2025-06-12 07:01:31,12.0,1.0
2025-06-12 07:01:47,12.0,1.0
2025-06-12 07:01:53,12.0,1.0
2025-06-12 07:02:22,12.0,1.0
2025-06-12 07:02:59,12.0,1.0
2025-06-12 07:03:01,12.0,1.0
2025-06-12 07:03:03,12.0,1.0
2025-06-12 07:03:05,12.0,1.0
2025-06-12 07:03:10,12.0,1.0
2025-06-12 07:03:14,12.0,1.0
2025-06-12 07:03:14,12.0,1.0
2025-06-12 07:03:17,12.0,1.0
2025-06-12 07:03:19,12.0,1.0
2025-06-12 07:03:26,12.0,1.0
2025-06-12 07:03:29,12.0,1.0
2025-06-12 07:03:39,12.0,1.0
2025-06-12 07:03:49,12.0,1.0
2025-06-12 07:03:51,12.0,1.0
2025-06-12 07:04:33,12.0,1.0
2025-06-12 07:04:35,12.0,1.0
2025-06-12 07:04:41,12.0,1.0
2025-06-12 07:04:47,12.0,1.0
2025-06-12 07:04:52,12.0,1.0
2025-06-12 07:04:52,12.0,1.0
2025-06-12 07:04:52,12.0,1.0
2025-06-12 07:04:52,12.0,1.0
2025-06-12 07:05:59,12.0,1.0
2025-06-12 07:57:15,12.0,0.0
2025-06-12 07:57:15,12.0,0.0
2025-06-12 07:57:27,12.0,1.0
2025-06-12 07:57:27,12.0,1.0
2025-06-12 07:57:31,12.0,1.0
2025-06-12 07:57:36,12.0,1.0
2025-06-12 07:57:39,12.0,1.0
2025-06-12 07:57:45,12.0,1.0
2025-06-12 07:58:45,12.0,1.0
2025-06-12 07:58:49,12.0,1.0
2025-06-12 07:59:03,12.0,1.0
2025-06-12 07:59:06,12.0,1.0
2025-06-12 07:59:20,12.0,1.0
2025-06-12 07:59:45,12.0,1.0
2025-06-12 07:59:51,12.0,1.0
2025-06-12 08:00:23,12.0,1.0
2025-06-12 08:03:06,12.0,1.0
2025-06-12 08:03:23,12.0,1.0
2025-06-12 08:03:41,12.0,1.0
2025-06-12 08:03:50,12.0,1.0
2025-06-12 08:03:55,12.0,1.0
2025-06-12 08:04:03,12.0,1.0
