Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2025-06-12 00:01:04,GTERI,11,,
2025-06-12 01:01:04,GTERI,11,,3600.0
2025-06-12 02:01:04,GTERI,11,,3600.0
2025-06-12 03:01:04,GTERI,11,,3600.0
2025-06-12 04:01:04,GTERI,11,,3600.0
2025-06-12 04:01:04,GTERI,11,,0.0
2025-06-12 05:01:04,GTERI,11,,3600.0
2025-06-12 06:01:04,GTERI,11,,3600.0
2025-06-12 06:04:36,GTIGF,,,
2025-06-12 06:04:36,GTIGN,,,
2025-06-12 06:04:37,GTIGN,,,
2025-06-12 06:05:07,GTERI,22,30.0,
2025-06-12 06:07:45,GTERI,22,158.0,
2025-06-12 06:10:45,GTERI,22,180.0,
2025-06-12 06:16:45,GTERI,22,360.0,
2025-06-12 06:19:45,GTERI,22,180.0,
2025-06-12 06:22:46,GTERI,22,181.0,
2025-06-12 06:25:46,GTERI,22,180.0,
2025-06-12 06:28:46,GTERI,22,180.0,
2025-06-12 06:31:46,GTERI,22,180.0,
2025-06-12 06:34:46,GTERI,22,180.0,
2025-06-12 06:37:46,GTERI,22,180.0,
2025-06-12 06:40:46,GTERI,22,180.0,
2025-06-12 06:43:46,GTERI,22,180.0,
2025-06-12 06:46:46,GTERI,22,180.0,
2025-06-12 06:49:46,GTERI,22,180.0,
2025-06-12 06:52:46,GTERI,22,180.0,
2025-06-12 06:55:46,GTERI,22,180.0,
2025-06-12 06:58:46,GTERI,22,180.0,
2025-06-12 07:01:47,GTERI,22,181.0,
2025-06-12 07:04:47,GTERI,22,180.0,
2025-06-12 07:04:52,GTIGF,,,
2025-06-12 07:04:52,GTERI,12,,0.0
2025-06-12 07:57:15,GTIGN,,,
2025-06-12 07:57:27,GTERI,22,12.0,
2025-06-12 08:00:23,GTERI,22,176.0,
2025-06-12 08:03:23,GTERI,22,180.0,
2025-06-12 08:06:23,GTERI,22,180.0,
2025-06-12 08:09:23,GTERI,22,180.0,
2025-06-12 08:12:23,GTERI,22,180.0,
2025-06-12 08:15:23,GTERI,22,180.0,
2025-06-12 08:18:23,GTERI,22,180.0,
2025-06-12 08:21:23,GTERI,22,180.0,
2025-06-12 08:24:23,GTERI,22,180.0,
2025-06-12 08:27:23,GTERI,22,180.0,
2025-06-12 08:30:23,GTERI,22,180.0,
2025-06-12 08:33:23,GTERI,22,180.0,
2025-06-12 08:36:23,GTERI,22,180.0,
2025-06-12 08:39:23,GTERI,22,180.0,
2025-06-12 08:42:23,GTERI,22,180.0,
2025-06-12 08:45:23,GTERI,22,180.0,
2025-06-12 08:48:23,GTERI,22,180.0,
2025-06-12 08:51:23,GTERI,22,180.0,
2025-06-12 08:54:23,GTERI,22,180.0,
2025-06-12 08:57:23,GTERI,22,180.0,
2025-06-12 09:00:23,GTERI,22,180.0,
2025-06-12 09:03:23,GTERI,22,180.0,
2025-06-12 09:04:07,GTIGF,,,
2025-06-12 09:04:07,GTERI,12,,0.0
2025-06-12 09:54:01,GTIGN,,,
2025-06-12 09:54:09,GTERI,22,8.0,
2025-06-12 09:57:08,GTERI,22,179.0,
2025-06-12 10:00:08,GTERI,22,180.0,
2025-06-12 10:03:08,GTERI,22,180.0,
2025-06-12 10:06:08,GTERI,22,180.0,
2025-06-12 10:09:08,GTERI,22,180.0,
2025-06-12 10:12:08,GTERI,22,180.0,
2025-06-12 10:15:08,GTERI,22,180.0,
2025-06-12 10:18:08,GTERI,22,180.0,
2025-06-12 10:21:09,GTERI,22,181.0,
2025-06-12 10:24:09,GTERI,22,180.0,
2025-06-12 10:27:09,GTERI,22,180.0,
2025-06-12 10:30:09,GTERI,22,180.0,
2025-06-12 10:33:09,GTERI,22,180.0,
2025-06-12 10:36:09,GTERI,22,180.0,
2025-06-12 10:39:09,GTERI,22,180.0,
2025-06-12 10:42:09,GTERI,22,180.0,
2025-06-12 10:45:09,GTERI,22,180.0,
2025-06-12 10:48:09,GTERI,22,180.0,
2025-06-12 10:51:09,GTERI,22,180.0,
2025-06-12 10:53:05,GTIGF,,,
2025-06-12 10:53:06,GTERI,12,,1.0
2025-06-12 10:53:21,GTIGN,,,
2025-06-12 10:53:25,GTERI,22,4.0,
2025-06-12 10:56:26,GTERI,21,181.0,
2025-06-12 10:59:26,GTERI,22,180.0,
2025-06-12 11:00:54,GTIGF,,,
2025-06-12 11:00:54,GTERI,12,,0.0
2025-06-12 11:17:54,GTIGN,,,
2025-06-12 11:18:02,GTERI,22,8.0,
2025-06-12 11:18:11,GTIGF,,,
2025-06-12 11:18:12,GTERI,12,,1.0
2025-06-12 11:46:32,GTIGN,,,
2025-06-12 11:46:43,GTERI,22,11.0,
2025-06-12 11:49:37,GTERI,22,174.0,
2025-06-12 11:52:37,GTERI,22,180.0,
2025-06-12 11:55:37,GTERI,22,180.0,
2025-06-12 11:58:37,GTERI,22,180.0,
2025-06-12 12:01:37,GTERI,22,180.0,
2025-06-12 12:04:37,GTERI,22,180.0,
2025-06-12 12:07:37,GTERI,22,180.0,
2025-06-12 12:10:37,GTERI,22,180.0,
2025-06-12 12:11:38,GTIGF,,,
2025-06-12 12:11:38,GTERI,12,,0.0
2025-06-12 13:11:33,GTERI,11,,3595.0
2025-06-12 14:11:33,GTERI,11,,3600.0
2025-06-12 14:30:01,GTIGN,,,
2025-06-12 14:30:09,GTERI,22,8.0,
2025-06-12 14:33:09,GTERI,22,180.0,
2025-06-12 14:35:10,GTIGF,,,
2025-06-12 14:35:11,GTERI,12,,1.0
2025-06-12 14:37:39,GTIGN,,,
2025-06-12 14:37:43,GTERI,22,4.0,
2025-06-12 14:40:46,GTERI,22,183.0,
2025-06-12 14:43:46,GTERI,22,180.0,
2025-06-12 14:46:46,GTERI,22,180.0,
2025-06-12 14:49:46,GTERI,22,180.0,
2025-06-12 14:52:46,GTERI,22,180.0,
2025-06-12 14:55:46,GTERI,22,180.0,
2025-06-12 14:58:46,GTERI,22,180.0,
2025-06-12 15:01:46,GTERI,22,180.0,
2025-06-12 15:04:46,GTERI,22,180.0,
2025-06-12 15:07:46,GTERI,22,180.0,
2025-06-12 15:10:46,GTERI,22,180.0,
2025-06-12 15:13:46,GTERI,22,180.0,
2025-06-12 15:16:46,GTERI,22,180.0,
2025-06-12 15:19:46,GTERI,22,180.0,
2025-06-12 15:22:46,GTERI,22,180.0,
2025-06-12 15:25:46,GTERI,22,180.0,
2025-06-12 15:28:46,GTERI,22,180.0,
2025-06-12 15:31:46,GTERI,22,180.0,
2025-06-12 15:34:46,GTERI,22,180.0,
2025-06-12 15:37:46,GTERI,22,180.0,
2025-06-12 15:38:05,GTIGF,,,
2025-06-12 15:38:05,GTERI,12,,0.0
2025-06-12 15:40:52,GTIGN,,,
2025-06-12 15:40:56,GTERI,22,4.0,
2025-06-12 15:44:01,GTERI,22,185.0,
2025-06-12 15:45:56,GTIGF,,,
2025-06-12 15:45:57,GTERI,12,,1.0
2025-06-12 15:52:03,GTIGN,,,
2025-06-12 15:52:03,GTIGN,,,
2025-06-12 15:52:13,GTERI,22,10.0,
2025-06-12 15:53:42,GTIGF,,,
2025-06-12 15:53:42,GTERI,12,,0.0
2025-06-12 15:54:00,GTIGN,,,
2025-06-12 15:54:01,GTIGF,,,
2025-06-12 16:06:10,GTIGN,,,
2025-06-12 16:06:20,GTERI,22,10.0,
2025-06-12 16:06:21,GTIGF,,,
2025-06-12 16:06:21,GTERI,12,,0.0
2025-06-12 16:44:45,GTIGN,,,
2025-06-12 16:44:54,GTERI,22,9.0,
2025-06-12 16:47:52,GTERI,22,178.0,
2025-06-12 16:50:52,GTERI,22,180.0,
2025-06-12 16:53:52,GTERI,22,180.0,
2025-06-12 16:54:40,GTERI,12,,2899.0
2025-06-12 16:54:40,GTIGF,,,
