Linha_IGN,Dia_IGN,ign on (s),Linha_IGF,Dia_IGF,ign off (s)
135,12/06/2025,3616.0,257,12/06/2025,3143.0
288,12/06/2025,4012.0,426,12/06/2025,2994.0
455,12/06/2025,3544.0,567,12/06/2025,16.0
571,12/06/2025,453.0,600,12/06/2025,1020.0
614,12/06/2025,17.0,619,12/06/2025,1701.0
638,12/06/2025,1506.0,707,12/06/2025,8303.0
786,12/06/2025,309.0,811,12/06/2025,149.0
818,12/06/2025,3626.0,928,12/06/2025,167.0
934,12/06/2025,304.0,960,12/06/2025,367.0
968,12/06/2025,99.0,983,12/06/2025,18.0
987,12/06/2025,1.0,990,12/06/2025,729.0
1000,12/06/2025,11.0,1004,12/06/2025,2304.0
1028,12/06/2025,595.0,1070,12/06/2025,351.0
1078,12/06/2025,197.0,1088,12/06/2025,2700.0
1166,12/06/2025,7662.0,1418,12/06/2025,2366.0
1442,12/06/2025,1176.0,1501,12/06/2025,365.0
1509,12/06/2025,31.0,1515,12/06/2025,2551.0
1542,12/06/2025,1196.0,1613,12/06/2025,23136.0
1818,13/06/2025,637.0,1850,13/06/2025,5157.0
1899,13/06/2025,173.0,1915,13/06/2025,143.0
1921,13/06/2025,1912.0,1997,13/06/2025,512.0
2006,13/06/2025,344.0,2058,13/06/2025,1378.0
2077,13/06/2025,141.0,2097,13/06/2025,552.0
2108,13/06/2025,4962.0,2305,13/06/2025,7252.0
2373,13/06/2025,1634.0,2431,13/06/2025,933.0
2444,13/06/2025,5209.0,2597,13/06/2025,3440.0
2636,13/06/2025,238.0,2658,13/06/2025,251.0
2666,13/06/2025,383.0,2707,13/06/2025,5.0
2711,13/06/2025,10.0,2717,13/06/2025,237.0
2724,13/06/2025,7665.0,2947,13/06/2025,14540.0
3079,13/06/2025,6091.0,3274,13/06/2025,22675.0
3475,14/06/2025,485.0,3506,14/06/2025,21633.0
3698,14/06/2025,490.0,3735,14/06/2025,11925.0
3842,14/06/2025,232.0,3861,14/06/2025,3739.0
3904,14/06/2025,636.0,3953,14/06/2025,589.0
3963,14/06/2025,185.0,3984,14/06/2025,213.0
3992,14/06/2025,241.0,4010,14/06/2025,12191.0
4123,14/06/2025,146.0,4137,14/06/2025,311.0
4145,14/06/2025,70.0,4151,14/06/2025,209.0
4158,14/06/2025,50.0,4165,14/06/2025,14517.0
4296,14/06/2025,210.0,4317,14/06/2025,506.0
4328,14/06/2025,638.0,4376,14/06/2025,38856.0
4717,15/06/2025,6.0,4719,15/06/2025,2.0
4721,15/06/2025,182.0,4741,15/06/2025,706.0
4752,15/06/2025,119.0,4764,15/06/2025,1438.0
4781,15/06/2025,113.0,4793,15/06/2025,279.0
4801,15/06/2025,117.0,4816,15/06/2025,125.0
4822,15/06/2025,94.0,4831,15/06/2025,222.0
4837,15/06/2025,211.0,4855,15/06/2025,697.0
4866,15/06/2025,193.0,4887,15/06/2025,128.0
4893,15/06/2025,111.0,4901,15/06/2025,610.0
4913,15/06/2025,174.0,4934,15/06/2025,9546.0
5022,15/06/2025,231.0,5043,15/06/2025,13774.0
5171,15/06/2025,12.0,5173,15/06/2025,1.0
5175,15/06/2025,232.0,5196,15/06/2025,208.0
5203,15/06/2025,295.0,5224,15/06/2025,1.0
5226,15/06/2025,11.0,5234,15/06/2025,538.0
5243,15/06/2025,197.0,5259,15/06/2025,219.0
5265,15/06/2025,930.0,5322,15/06/2025,36313.0
5642,16/06/2025,10.0,5644,16/06/2025,2.0
5646,16/06/2025,5266.0,5861,16/06/2025,3301.0
5893,16/06/2025,48.0,5898,16/06/2025,2227.0
5980,16/06/2025,726.0,6034,16/06/2025,315.0
6042,16/06/2025,248.0,6063,16/06/2025,541.0
6073,16/06/2025,108.0,6078,16/06/2025,370.0
6087,16/06/2025,355.0,6110,16/06/2025,342.0
6118,16/06/2025,291.0,6145,16/06/2025,7205.0
6212,16/06/2025,4.0,6214,16/06/2025,1.0
6216,16/06/2025,872.0,6296,16/06/2025,1629.0
6315,16/06/2025,543.0,6344,16/06/2025,144.0
6350,16/06/2025,239.0,6377,16/06/2025,5.0
6386,16/06/2025,9.0,6390,16/06/2025,14.0
6395,16/06/2025,954.0,6448,16/06/2025,1703.0
6468,16/06/2025,654.0,6507,16/06/2025,11519.0
6611,16/06/2025,3081.0,6716,16/06/2025,41.0
6721,16/06/2025,157.0,6729,16/06/2025,132247.0
7874,18/06/2025,3492.0,7992,18/06/2025,1077.0
8006,18/06/2025,844.0,8063,18/06/2025,2508.0
8089,18/06/2025,484.0,8117,18/06/2025,14153.0
8243,18/06/2025,752.0,8281,18/06/2025,2583.0
8307,18/06/2025,470.0,8342,18/06/2025,7419.0
8411,18/06/2025,860.0,8454,18/06/2025,6206.0
8512,18/06/2025,4652.0,8657,18/06/2025,80.0
8663,18/06/2025,387.0,8689,18/06/2025,61633.0
9225,19/06/2025,58.0,9233,19/06/2025,19868.0
9408,19/06/2025,41.0,9415,19/06/2025,58210.0
9920,20/06/2025,72.0,9927,20/06/2025,32533.0
10214,20/06/2025,74.0,10220,20/06/2025,182917.0
11799,22/06/2025,9.0,11801,22/06/2025,30604.0
12071,23/06/2025,3742.0,12196,23/06/2025,5583.0
12249,23/06/2025,74.0,12259,23/06/2025,16.0
12263,23/06/2025,566.0,12298,23/06/2025,256.0
12305,23/06/2025,11.0,12309,23/06/2025,27.0
12314,23/06/2025,1.0,12316,23/06/2025,1245.0
12381,23/06/2025,5207.0,12535,23/06/2025,191.0
12542,23/06/2025,104.0,12554,23/06/2025,3647.0
12590,23/06/2025,133.0,12606,23/06/2025,591.0
12616,23/06/2025,41.0,12625,23/06/2025,8.0
12629,23/06/2025,180.0,12647,23/06/2025,1939.0
12668,23/06/2025,366.0,12699,23/06/2025,985.0
12712,23/06/2025,89.0,12721,23/06/2025,2.0
12729,23/06/2025,3281.0,12815,23/06/2025,132.0
12821,23/06/2025,41.0,12831,23/06/2025,1079.0
12845,23/06/2025,272.0,12862,23/06/2025,265.0
12869,23/06/2025,53.0,12882,23/06/2025,347.0
12890,23/06/2025,9.0,12895,23/06/2025,88.0
12900,23/06/2025,87.0,12915,23/06/2025,421.0
12924,23/06/2025,2229.0,13017,23/06/2025,257.0
13025,23/06/2025,37.0,13037,23/06/2025,20580.0
13218,23/06/2025,831.0,13290,23/06/2025,326.0
13298,23/06/2025,472.0,13329,23/06/2025,21749.0
13524,24/06/2025,22.0,13528,24/06/2025,1993.0
13626,24/06/2025,598.0,13671,24/06/2025,236.0
13678,24/06/2025,259.0,13700,24/06/2025,267.0
13708,24/06/2025,185.0,13716,24/06/2025,285.0
13724,24/06/2025,545.0,13748,24/06/2025,250.0
13755,24/06/2025,399.0,13788,24/06/2025,845.0
13800,24/06/2025,40.0,13808,24/06/2025,1020.0
13823,24/06/2025,41.0,13837,24/06/2025,130.0
13842,24/06/2025,683.0,13913,24/06/2025,287.0
13921,24/06/2025,451.0,13951,24/06/2025,7107.0
14021,24/06/2025,16.0,14025,24/06/2025,357.0
14033,24/06/2025,308.0,14058,24/06/2025,154.0
14064,24/06/2025,7447.0,14302,24/06/2025,39.0
14306,24/06/2025,178.0,14319,24/06/2025,710.0
14331,24/06/2025,186.0,14351,24/06/2025,195.0
14357,24/06/2025,563.0,14392,24/06/2025,1051.0
14410,24/06/2025,78.0,14420,24/06/2025,273.0
14427,24/06/2025,457.0,14453,24/06/2025,162.0
14459,24/06/2025,97.0,14465,24/06/2025,69.0
14469,24/06/2025,1836.0,14544,24/06/2025,1848.0
14564,24/06/2025,5198.0,14708,24/06/2025,3016.0
14739,24/06/2025,2980.0,14847,24/06/2025,884.0
14860,24/06/2025,99.0,14876,24/06/2025,928.0
14896,24/06/2025,401.0,14911,24/06/2025,8057.0
14985,24/06/2025,21.0,14989,24/06/2025,573.0
15025,24/06/2025,16.0,15030,24/06/2025,265.0
15037,24/06/2025,3110.0,15137,24/06/2025,57622.0
15643,25/06/2025,4.0,15645,25/06/2025,2.0
15647,25/06/2025,3.0,15649,25/06/2025,10.0
15662,25/06/2025,6.0,15667,25/06/2025,1.0
15669,25/06/2025,1.0,15673,25/06/2025,2.0
15676,25/06/2025,11.0,15680,25/06/2025,1.0
15683,25/06/2025,6.0,15688,25/06/2025,25.0
15697,25/06/2025,1.0,15700,25/06/2025,1.0
15702,25/06/2025,4.0,15706,25/06/2025,1.0
15710,25/06/2025,121.0,15715,25/06/2025,2.0
15720,25/06/2025,1.0,15723,25/06/2025,5.0
15726,25/06/2025,20449.0,15912,25/06/2025,1.0
15916,25/06/2025,22.0,15920,25/06/2025,45948.0
16320,26/06/2025,3533.0,16444,26/06/2025,2338.0
16469,26/06/2025,752.0,16545,26/06/2025,10784.0
16644,26/06/2025,2685.0,16777,26/06/2025,571.0
16787,26/06/2025,104.0,16800,26/06/2025,825.0
16812,26/06/2025,12.0,16816,26/06/2025,1.0
