linha,Data/Hora Evento,Tipo Mensagem,Motion Status,Diferença entre GTERI (IGN),Diferença entre GTERI (IGF)
2,2025-06-12 00:01:04,GTERI,11,,
33,2025-06-12 01:01:04,GTERI,11,,3600.0
64,2025-06-12 02:01:04,GTERI,11,,3600.0
96,2025-06-12 03:01:04,GTERI,11,,3600.0
99,2025-06-12 04:01:04,GTERI,11,,3600.0
101,2025-06-12 04:01:04,GTERI,11,,0.0
104,2025-06-12 05:01:04,GTERI,11,,3600.0
132,2025-06-12 06:01:04,GTERI,11,,3600.0
135,2025-06-12 06:04:36,GTIGN,,,
137,2025-06-12 06:04:36,GTIGF,,,
139,2025-06-12 06:04:37,GTIGN,,,
141,2025-06-12 06:05:07,GTERI,22,30.0,
147,2025-06-12 06:07:45,GTERI,22,158.0,
150,2025-06-12 06:10:45,GTERI,22,180.0,
158,2025-06-12 06:13:45,GTERI,22,180.0,
166,2025-06-12 06:16:45,GTERI,22,180.0,
175,2025-06-12 06:19:45,GTERI,22,180.0,
181,2025-06-12 06:22:46,GTERI,22,181.0,
184,2025-06-12 06:25:46,GTERI,22,180.0,
188,2025-06-12 06:28:46,GTERI,22,180.0,
194,2025-06-12 06:31:46,GTERI,22,180.0,
201,2025-06-12 06:34:46,GTERI,22,180.0,
203,2025-06-12 06:37:46,GTERI,22,180.0,
212,2025-06-12 06:40:46,GTERI,22,180.0,
216,2025-06-12 06:43:46,GTERI,22,180.0,
218,2025-06-12 06:46:46,GTERI,22,180.0,
219,2025-06-12 06:49:46,GTERI,22,180.0,
224,2025-06-12 06:52:46,GTERI,22,180.0,
226,2025-06-12 06:55:46,GTERI,22,180.0,
231,2025-06-12 06:58:46,GTERI,22,180.0,
235,2025-06-12 07:01:47,GTERI,22,181.0,
256,2025-06-12 07:04:47,GTERI,22,180.0,
257,2025-06-12 07:04:52,GTIGF,,,
259,2025-06-12 07:04:52,GTERI,12,,0.0
288,2025-06-12 07:57:15,GTIGN,,,
290,2025-06-12 07:57:27,GTERI,22,12.0,
305,2025-06-12 08:00:23,GTERI,22,176.0,
308,2025-06-12 08:03:23,GTERI,22,180.0,
319,2025-06-12 08:06:23,GTERI,22,180.0,
323,2025-06-12 08:09:23,GTERI,22,180.0,
327,2025-06-12 08:12:23,GTERI,22,180.0,
334,2025-06-12 08:15:23,GTERI,22,180.0,
342,2025-06-12 08:18:23,GTERI,22,180.0,
348,2025-06-12 08:21:23,GTERI,22,180.0,
351,2025-06-12 08:24:23,GTERI,22,180.0,
354,2025-06-12 08:27:23,GTERI,22,180.0,
356,2025-06-12 08:30:23,GTERI,22,180.0,
359,2025-06-12 08:33:23,GTERI,22,180.0,
365,2025-06-12 08:36:23,GTERI,22,180.0,
367,2025-06-12 08:39:23,GTERI,22,180.0,
370,2025-06-12 08:42:23,GTERI,22,180.0,
