Linha,Data/Hora Evento,GNSS UTC Time,Time fix,Média Geral,Média dos valores com delay
4,2025-06-11 16:22:47,2025-06-11 13:56:55,8752.0,801532.4547335748,1222859.039463299
9,2025-06-11 16:27:37,2025-06-11 13:56:55,9042.0,801532.4547335748,1222859.039463299
12,2025-06-11 16:28:02,2019-12-31 21:00:00,171833282.0,801532.4547335748,1222859.039463299
13,2025-06-11 16:28:03,2019-12-31 21:00:00,171833283.0,801532.4547335748,1222859.039463299
17,2025-06-11 16:28:09,2019-12-31 21:00:00,171833289.0,801532.4547335748,1222859.039463299
19,2025-06-11 16:30:33,2019-12-31 21:00:00,171833433.0,801532.4547335748,1222859.039463299
20,2025-06-11 16:30:33,2019-12-31 21:00:00,171833433.0,801532.4547335748,1222859.039463299
22,2025-06-11 17:28:00,2019-12-31 21:00:00,171836880.0,801532.4547335748,1222859.039463299
23,2025-06-11 17:50:08,2019-12-31 21:00:00,171838208.0,801532.4547335748,1222859.039463299
24,2025-06-11 17:50:18,2019-12-31 21:00:00,171838218.0,801532.4547335748,1222859.039463299
25,2025-06-11 17:50:18,2019-12-31 21:00:00,171838218.0,801532.4547335748,1222859.039463299
27,2025-06-11 17:50:42,2025-06-11 17:50:41,1.0,801532.4547335748,1222859.039463299
29,2025-06-11 17:53:26,2025-06-11 17:53:24,2.0,801532.4547335748,1222859.039463299
35,2025-06-11 17:56:26,2025-06-11 17:56:24,2.0,801532.4547335748,1222859.039463299
37,2025-06-11 17:59:26,2025-06-11 17:59:24,2.0,801532.4547335748,1222859.039463299
40,2025-06-11 18:02:26,2025-06-11 18:02:24,2.0,801532.4547335748,1222859.039463299
41,2025-06-11 18:03:15,2025-06-11 18:03:15,0.0,801532.4547335748,1222859.039463299
43,2025-06-11 18:05:15,2025-06-11 18:05:15,0.0,801532.4547335748,1222859.039463299
44,2025-06-11 18:05:15,2025-06-11 18:05:15,0.0,801532.4547335748,1222859.039463299
47,2025-06-11 18:05:26,2025-06-11 18:05:24,2.0,801532.4547335748,1222859.039463299
48,2025-06-11 18:05:36,2025-06-11 18:05:35,1.0,801532.4547335748,1222859.039463299
49,2025-06-11 18:05:36,2025-06-11 18:05:35,1.0,801532.4547335748,1222859.039463299
52,2025-06-11 18:08:26,2025-06-11 18:08:25,1.0,801532.4547335748,1222859.039463299
