Linha Original,Data/Hora Evento,Tipo Mensagem,Velocidade absurda,Velocidade com ignição OFF
4,2025-06-11 16:22:47,GTRTL,,8.7
9,2025-06-11 16:27:37,GTPFR,,8.7
152,2025-06-12 07:59:15,GTIGF,,12.4
153,2025-06-12 07:59:15,GTSTT,,12.4
156,2025-06-12 08:01:23,GTERI,,31.0
157,2025-06-12 08:04:15,GTERI,,31.0
159,2025-06-12 09:04:10,GTERI,,31.0
161,2025-06-12 10:04:10,GTERI,,31.0
163,2025-06-12 11:04:10,GTERI,,31.0
165,2025-06-12 12:04:10,GTERI,,31.0
167,2025-06-12 13:04:10,GTERI,,31.0
169,2025-06-12 14:04:10,GTERI,,31.0
171,2025-06-12 15:04:10,GTERI,,31.0
173,2025-06-12 16:04:10,GTERI,,31.0
175,2025-06-12 17:04:10,GTERI,,12.4
259,2025-06-13 07:57:37,GTIGF,,1.3
260,2025-06-13 07:57:37,GTSTT,,1.3
265,2025-06-13 07:59:53,GTERI,,37.8
267,2025-06-13 08:02:41,GTERI,,37.8
269,2025-06-13 09:02:32,GTERI,,37.8
271,2025-06-13 10:02:32,GTERI,,37.8
273,2025-06-13 11:02:32,GTERI,,37.8
293,2025-06-13 12:46:13,GTERI,,18.6
296,2025-06-13 12:49:13,GTERI,,18.6
297,2025-06-13 12:49:37,GTERI,,18.6
299,2025-06-13 13:49:30,GTERI,,18.6
301,2025-06-13 14:49:30,GTERI,,18.6
303,2025-06-13 15:49:30,GTERI,,18.6
545,2025-06-16 07:49:54,GTIGF,,1.3
546,2025-06-16 07:49:54,GTSTT,,1.3
571,2025-06-16 16:54:49,GTERI,,1.3
701,2025-06-17 07:46:20,GTIGF,,9.9
702,2025-06-17 07:46:20,GTSTT,,9.9
706,2025-06-17 07:47:54,GTERI,,26.1
709,2025-06-17 07:50:54,GTERI,,26.1
710,2025-06-17 07:51:21,GTERI,,26.1
712,2025-06-17 08:51:15,GTERI,,26.1
714,2025-06-17 09:51:15,GTERI,,26.1
716,2025-06-17 10:51:15,GTERI,,26.1
718,2025-06-17 11:51:15,GTERI,,26.1
720,2025-06-17 12:51:15,GTERI,,26.1
722,2025-06-17 13:51:15,GTERI,,26.1
724,2025-06-17 14:51:15,GTERI,,26.1
726,2025-06-17 15:51:15,GTERI,,26.1
728,2025-06-17 16:51:15,GTERI,,9.9
837,2025-06-18 07:50:13,GTERI,,24.8
840,2025-06-18 07:53:11,GTERI,,24.8
842,2025-06-18 08:53:06,GTERI,,24.8
844,2025-06-18 09:53:06,GTERI,,24.8
846,2025-06-18 10:53:06,GTERI,,24.8
848,2025-06-18 11:53:06,GTERI,,24.8
850,2025-06-18 12:53:06,GTERI,,24.8
852,2025-06-18 13:53:06,GTERI,,24.8
854,2025-06-18 14:53:06,GTERI,,24.8
856,2025-06-18 15:53:06,GTERI,,24.8
1482,2025-06-21 08:26:18,GTERI,,4.4
1961,2025-06-22 11:15:36,GTERI,,38.4
2001,2025-06-22 16:34:15,GTIGF,,8.7
2002,2025-06-22 16:34:15,GTSTT,,8.7
2006,2025-06-22 16:35:19,GTERI,,47.7
2008,2025-06-22 16:38:19,GTERI,,47.7
2010,2025-06-22 16:39:16,GTERI,,47.7
2066,2025-06-23 07:56:09,GTIGF,,41.0
2067,2025-06-23 07:56:09,GTSTT,,41.0
2071,2025-06-23 07:58:16,GTERI,,36.4
2074,2025-06-23 08:01:09,GTERI,,36.4
2076,2025-06-23 09:01:04,GTERI,,36.4
2078,2025-06-23 10:01:04,GTERI,,36.4
2080,2025-06-23 11:01:04,GTERI,,36.4
2085,2025-06-23 11:12:53,GTRTL,,36.4
2087,2025-06-23 12:01:04,GTERI,,36.4
2089,2025-06-23 13:01:04,GTERI,,36.4
2091,2025-06-23 14:01:04,GTERI,,36.4
2093,2025-06-23 15:01:04,GTERI,,36.4
2095,2025-06-23 16:01:04,GTERI,,36.4
2097,2025-06-23 17:01:04,GTERI,,41.0
2260,2025-06-25 07:52:34,GTIGF,,28.7
2261,2025-06-25 07:52:34,GTSTT,,28.7
2265,2025-06-25 07:53:47,GTERI,,15.4
2267,2025-06-25 07:56:47,GTERI,,15.4
2269,2025-06-25 07:57:35,GTERI,,15.4
2271,2025-06-25 08:57:29,GTERI,,15.4
2273,2025-06-25 09:57:29,GTERI,,15.4
2275,2025-06-25 10:57:29,GTERI,,15.4
2277,2025-06-25 11:57:29,GTERI,,15.4
2279,2025-06-25 12:57:29,GTERI,,15.4
