linha,bloco,ordem_no_bloco,latitude,longitude,latitude_anterior,longitude_anterior,Hodômetro Total,Hodômetro anterior,Hodômetro incremental do bloco,Data/Hora Evento,GNSS UTC Time,Tipo Mensagem,Motion Status,Distância incremental (m)
2,1,1,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:02:27,2025-07-08 12:55:15,GTPNR,21.0,0.0
5,1,2,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:04:36,2025-07-08 12:55:15,GTSTT,22.0,
6,1,3,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:04:56,2025-07-08 12:55:15,GTRTL,22.0,0.0
7,1,4,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:04:56,2025-07-08 12:55:15,GTRTL,22.0,0.0
8,1,5,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:04:56,2025-07-08 12:55:15,GTERI,22.0,0.0
9,1,6,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:04:56,2025-07-08 12:55:15,GTSTT,21.0,0.0
10,1,7,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:05:35,2025-07-08 12:55:15,GTERI,21.0,0.0
13,1,8,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:08:35,2025-07-08 12:55:15,GTERI,21.0,
14,1,9,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:09:20,2025-07-08 12:55:15,GTSTT,22.0,0.0
15,1,10,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:09:51,2025-07-08 12:55:15,GTSTT,21.0,0.0
17,1,11,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:11:35,2025-07-08 12:55:15,GTERI,21.0,
20,1,12,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:12:33,2025-07-08 12:55:15,GTGSS,21.0,
22,1,13,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:14:35,2025-07-08 12:55:15,GTERI,21.0,
23,1,14,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:16:15,2025-07-08 12:55:15,GTSTT,22.0,0.0
25,1,15,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:16:35,2025-07-08 12:55:15,GTSTT,21.0,
26,1,16,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:17:30,2025-07-08 12:55:15,GTSTT,22.0,0.0
27,1,17,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:17:35,2025-07-08 12:55:15,GTERI,22.0,0.0
28,1,18,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:18:21,2025-07-08 12:55:15,GTSTT,21.0,0.0
30,1,19,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:19:27,2025-07-08 12:55:15,GTSTT,22.0,
31,1,20,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:19:47,2025-07-08 12:55:15,GTSTT,21.0,0.0
32,1,21,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:19:47,2025-07-08 12:55:15,GTSTT,21.0,0.0
33,1,22,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:19:47,2025-07-08 12:55:15,GTSTT,21.0,0.0
34,1,23,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:19:47,2025-07-08 12:55:15,GTSTT,21.0,0.0
37,1,24,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:20:35,2025-07-08 12:55:15,GTERI,21.0,
38,1,25,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:23:35,2025-07-08 12:55:15,GTERI,21.0,0.0
45,1,26,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:26:35,2025-07-08 12:55:15,GTERI,21.0,
47,1,27,-23.329657,-51.177714,,,0.0,,0.0,2025-07-08 17:28:19,2025-07-08 12:55:15,GTSTT,22.0,
48,1,28,-23.329657,-51.177714,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:28:44,2025-07-08 12:55:15,GTSTT,21.0,0.0
49,1,29,-23.329912,-51.177049,-23.329657,-51.177714,0.0,0.0,0.0,2025-07-08 17:29:31,2025-07-08 17:29:30,GTGSS,21.0,73.58174499272336
50,1,30,-23.329912,-51.177049,-23.329912,-51.177049,0.0,0.0,0.0,2025-07-08 17:29:36,2025-07-08 17:29:33,GTERI,21.0,0.0
54,1,31,-23.329912,-51.177049,,,0.0,,0.0,2025-07-08 17:32:36,2025-07-08 17:32:33,GTERI,21.0,
56,1,32,-23.329912,-51.177049,,,0.0,,0.0,2025-07-08 17:35:35,2025-07-08 17:35:33,GTERI,21.0,
60,1,33,-23.329912,-51.177049,-23.329912,-51.177049,0.0,0.0,0.0,2025-07-08 17:38:35,2025-07-08 17:38:33,GTERI,21.0,0.0
59,1,34,-23.329912,-51.177049,,,0.0,,0.0,2025-07-08 17:39:45,2025-07-08 17:39:44,GTPDP,21.0,
61,1,35,-23.329912,-51.177049,-23.329912,-51.177049,0.0,0.0,0.0,2025-07-08 17:41:35,2025-07-08 17:41:33,GTERI,21.0,0.0
62,1,36,-23.329912,-51.177049,-23.329912,-51.177049,0.0,0.0,0.0,2025-07-08 17:43:08,2025-07-08 17:43:08,GTSTT,22.0,0.0
63,1,37,-23.329807,-51.177707,-23.329912,-51.177049,0.1,0.0,0.1,2025-07-08 17:43:28,2025-07-08 17:43:28,GTSTT,21.0,68.1912435523395
64,1,38,-23.329851,-51.177735,-23.329807,-51.177707,0.1,0.1,0.1,2025-07-08 17:43:55,2025-07-08 17:43:54,GTSTT,22.0,5.666632205906751
72,1,39,-23.329894,-51.177661,,,0.1,,0.1,2025-07-08 17:44:15,2025-07-08 17:44:14,GTSTT,21.0,
70,1,40,-23.329894,-51.177661,-23.329894,-51.177661,0.1,0.1,0.1,2025-07-08 17:44:15,2025-07-08 17:44:14,GTSTT,21.0,0.0
69,1,41,-23.329894,-51.177661,-23.329894,-51.177661,0.1,0.1,0.1,2025-07-08 17:44:15,2025-07-08 17:44:14,GTSTT,21.0,0.0
67,1,42,-23.329894,-51.177661,-23.329894,-51.177661,0.1,0.1,0.1,2025-07-08 17:44:15,2025-07-08 17:44:14,GTSTT,21.0,0.0
66,1,43,-23.329894,-51.177661,,,0.1,,0.1,2025-07-08 17:44:15,2025-07-08 17:44:14,GTSTT,21.0,
68,1,44,-23.329894,-51.177661,-23.329894,-51.177661,0.1,0.1,0.1,2025-07-08 17:44:15,2025-07-08 17:44:14,GTSTT,21.0,0.0
73,1,45,-23.329943,-51.177671,-23.329894,-51.177661,0.1,0.1,0.1,2025-07-08 17:44:35,2025-07-08 17:44:33,GTERI,21.0,5.543402544264286
74,1,46,-23.329942,-51.177651,-23.329943,-51.177671,0.1,0.1,0.1,2025-07-08 17:47:35,2025-07-08 17:47:33,GTERI,21.0,2.0450995572765844
77,1,47,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 17:50:35,2025-07-08 17:50:33,GTERI,21.0,
79,1,48,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 17:53:35,2025-07-08 17:53:33,GTERI,21.0,
82,1,49,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 17:56:35,2025-07-08 17:56:33,GTERI,21.0,
84,1,50,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 17:59:35,2025-07-08 17:59:33,GTERI,21.0,
87,1,51,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:02:35,2025-07-08 18:02:33,GTERI,21.0,
89,1,52,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:05:35,2025-07-08 18:05:33,GTERI,21.0,
92,1,53,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:08:35,2025-07-08 18:08:33,GTERI,21.0,
95,1,54,-23.329942,-51.177651,-23.329942,-51.177651,0.1,0.1,0.1,2025-07-08 18:11:35,2025-07-08 18:11:33,GTERI,21.0,0.0
94,1,55,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:11:35,2025-07-08 18:11:33,GTERI,21.0,
99,1,56,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:14:35,2025-07-08 18:14:33,GTERI,21.0,
101,1,57,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:17:35,2025-07-08 18:17:33,GTPDP,21.0,
102,1,58,-23.329942,-51.177651,-23.329942,-51.177651,0.1,0.1,0.1,2025-07-08 18:17:35,2025-07-08 18:17:33,GTERI,21.0,0.0
104,1,59,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:20:35,2025-07-08 18:20:33,GTERI,21.0,
106,1,60,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:23:35,2025-07-08 18:23:33,GTERI,21.0,
109,1,61,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:26:35,2025-07-08 18:26:33,GTERI,21.0,
111,1,62,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:29:35,2025-07-08 18:29:33,GTERI,21.0,
114,1,63,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:32:35,2025-07-08 18:32:33,GTERI,21.0,
116,1,64,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:35:35,2025-07-08 18:35:33,GTERI,21.0,
119,1,65,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:38:35,2025-07-08 18:38:33,GTERI,21.0,
121,1,66,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:41:35,2025-07-08 18:41:33,GTERI,21.0,
124,1,67,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:44:35,2025-07-08 18:44:33,GTERI,21.0,
126,1,68,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:47:35,2025-07-08 18:47:33,GTERI,21.0,
129,1,69,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:50:35,2025-07-08 18:50:33,GTERI,21.0,
131,1,70,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:53:35,2025-07-08 18:53:33,GTERI,21.0,
134,1,71,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:56:35,2025-07-08 18:56:33,GTERI,21.0,
136,1,72,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 18:59:35,2025-07-08 18:59:33,GTERI,21.0,
139,1,73,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 19:02:35,2025-07-08 19:02:33,GTERI,21.0,
141,1,74,-23.329942,-51.177651,,,0.1,,0.1,2025-07-08 19:05:35,2025-07-08 19:05:33,GTERI,21.0,
