Data/Hora Inclusão,Data/Hora Evento,Gnss Utc Time,Imei,Sequência,Tipo Mensagem,Máscara Report,Máscara Eri,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração Da Ignição,Precisão Gnss,Velocidade,Azimuth,Altitude,Latitude,Longitude,Mcc,Mnc,Lac,Cell Id,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,Id,Id Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,Rat,Band,Ign Trigger Data,Gnss Trigger Type,Position Report Type,Gnss Signal Status,linha_original
2025-06-11 16:28:54,2025-06-11 16:28:53,2025-06-11 15:35:36,867488061438387,16254.0,GTIGN,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12548,0000,0000,01,00,22,12,28271,00,0.0,262,192,-6.808811,-43.011475,0724,0005,f79d,0d94b110,0.0,111.5,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,5
2025-06-11 16:28:54,2025-06-11 16:28:53,2025-06-11 15:35:36,867488061438387,16255.0,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,12548,0000,0000,01,00,22,12,-,00,0.0,262,192,-6.808811,-43.011475,0724,0005,f79d,0d94b110,0.0,111.5,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,,6
2025-06-11 16:29:17,2025-06-11 16:29:16,2025-06-11 16:29:17,867488061438387,16256.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13585,0000,-,01,00,22,12,-,01,5.8,189,95,-6.809596,-43.012201,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,04,3,00000000,00,10,,7
2025-06-11 16:29:17,2025-06-11 16:29:16,2025-06-11 16:29:17,867488061438387,16257.0,GTIGL,0x09fe7fbf,,802003,0x0a04,0x0a14,100,13585,0000,0000,01,00,22,12,-,01,5.8,189,95,-6.809596,-43.012201,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,,,,,00,,8
2025-06-11 16:29:20,2025-06-11 16:29:19,2025-06-11 16:29:20,867488061438387,16258.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13585,0000,-,01,00,22,12,-,01,5.1,220,136,-6.80953,-43.011987,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,04,3,00000000,00,11,,9
2025-06-11 16:29:24,2025-06-11 16:29:23,2025-06-11 16:29:24,867488061438387,16259.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13659,0000,-,01,00,22,12,-,01,6.5,255,156,-6.809506,-43.011975,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,04,3,00000000,00,11,,10
2025-06-11 16:29:31,2025-06-11 16:29:30,2025-06-11 16:29:31,867488061438387,16260.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13593,0000,-,01,00,22,12,-,01,4.6,315,164,-6.809413,-43.011946,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,04,3,00000000,00,11,,11
2025-06-11 16:29:32,2025-06-11 16:29:31,2025-06-11 16:29:32,867488061438387,16261.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13593,0000,-,01,00,22,12,-,01,4.5,1,165,-6.809395,-43.01193,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,04,3,00000000,00,11,,12
2025-06-11 16:29:34,2025-06-11 16:29:33,2025-06-11 16:29:34,867488061438387,16263.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13541,0000,-,01,00,22,12,-,01,3.9,41,166,-6.809377,-43.011907,0724,0005,f79d,0d94b10c,0.1,111.6,0:00:00,0:00:00,-,-,0,-,,,,,04,3,00000000,00,11,,13
2025-06-11 16:29:39,2025-06-11 16:29:38,2025-06-11 16:29:39,867488061438387,16264.0,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,13491,0000,-,01,00,22,12,-,01,6.1,254,168,-6.809374,-43.0119,0724,0005,f79d,0d94b10a,0.2,111.7,0:00:00,0:00:00,-,-,0,-,,,,,04,28,00000000,00,11,,14
