linha,bloco,ordem_no_bloco,latitude,longitude,latitude_anterior,longitude_anterior,Hodômetro Total,Hodômetro anterior,Hodômetro incremental do bloco,Data/Hora Evento,GNSS UTC Time,Tipo Mensagem,Motion Status,Distância incremental (m)
129,5,18,-32.242831,-53.069115,-32.242851,-53.069094,241.6,241.6,2.9000000000000057,2025-06-12 07:38:48,2025-06-12 07:38:48,GTSTT,21,2.974291576496154
130,5,19,-32.242831,-53.069115,-32.242831,-53.069115,241.6,241.6,2.9000000000000057,2025-06-12 07:39:09,2025-06-12 07:39:08,GTERI,21,0.0
273,10,25,-32.219866,-53.039793,-32.219807,-53.039796,260.0,260.0,6.0,2025-06-12 14:45:17,2025-06-12 14:45:17,GTSTT,21,6.566577025345558
277,10,26,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:45:17,2025-06-12 14:45:17,GTSTT,21,0.0
276,10,27,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:45:17,2025-06-12 14:45:17,GTSTT,21,0.0
275,10,28,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:45:17,2025-06-12 14:45:17,GTSTT,21,0.0
274,10,29,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:45:17,2025-06-12 14:45:17,GTSTT,21,0.0
278,10,30,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:45:17,2025-06-12 14:45:17,GTSTT,21,0.0
281,10,33,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:47:52,2025-06-12 14:47:53,GTSTT,21,0.0
284,10,36,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:50:37,2025-06-12 14:50:37,GTSTT,21,0.0
286,10,38,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:52:45,2025-06-12 14:52:46,GTSTT,21,0.0
287,10,39,-32.219866,-53.039793,-32.219866,-53.039793,260.0,260.0,6.0,2025-06-12 14:52:56,2025-06-12 14:52:55,GTERI,21,0.0
489,17,2,-32.247302,-53.093566,-32.247302,-53.093566,299.5,299.5,0.0,2025-06-13 10:44:52,2025-06-13 10:22:42,GTSTT,21,0.0
630,21,2,-32.289011,-53.117228,-32.289011,-53.117228,327.0,327.0,0.0,2025-06-13 17:16:21,2025-06-13 17:16:17,GTSTT,21,0.0
887,29,13,-32.243014,-53.078614,-32.243011,-53.078617,363.7,363.7,0.30000000000001137,2025-06-15 09:50:35,2025-06-15 09:50:35,GTSTT,21,0.4369031515853867
898,30,5,-32.243021,-53.078612,-32.243023,-53.078607,363.7,363.7,0.0,2025-06-15 10:00:45,2025-06-15 10:00:46,GTSTT,21,0.520175965444771
963,34,2,-32.227723,-53.082063,-32.227723,-53.082063,366.8,366.8,0.0,2025-06-15 10:30:17,2025-06-15 10:29:37,GTSTT,21,0.0
1407,44,51,-31.754429,-52.429524,-31.754429,-52.429524,529.2,529.2,15.0,2025-06-17 06:48:58,2025-06-17 06:48:59,GTSTT,21,0.0
1539,47,11,-32.238527,-53.088907,-32.23691,-53.088403,635.2,635.0,1.7000000000000455,2025-06-17 16:46:20,2025-06-17 16:46:19,GTSTT,21,185.9461202283989
1540,47,12,-32.238527,-53.088907,-32.238527,-53.088907,635.2,635.2,1.7000000000000455,2025-06-17 16:46:26,2025-06-17 16:46:24,GTERI,21,0.0
1596,50,5,-32.2277,-53.082066,-32.2277,-53.082066,639.0,639.0,0.0,2025-06-18 06:44:55,2025-06-18 06:44:54,GTSTT,21,0.0
1597,50,6,-32.2277,-53.082066,-32.2277,-53.082066,639.0,639.0,0.0,2025-06-18 06:46:49,2025-06-18 06:46:47,GTERI,21,0.0
2054,58,32,-32.219875,-53.03983,-32.219844,-53.039829,920.1,920.1,7.100000000000023,2025-06-20 13:39:27,2025-06-20 13:39:28,GTSTT,21,3.448330888537493
2341,71,21,-32.24278,-53.069258,-32.24278,-53.069258,934.1,934.1,2.800000000000068,2025-06-23 06:47:29,2025-06-23 06:47:29,GTSTT,21,0.0
2343,71,23,-32.24278,-53.069258,-32.24278,-53.069258,934.1,934.1,2.800000000000068,2025-06-23 06:48:54,2025-06-23 06:48:54,GTSTT,21,0.0
2344,71,24,-32.24278,-53.069258,-32.24278,-53.069258,934.1,934.1,2.800000000000068,2025-06-23 06:50:11,2025-06-23 06:50:10,GTERI,21,0.0
2605,79,16,-31.43795,-53.098111,-31.43795,-53.098111,1128.7,1128.7,0.7999999999999545,2025-06-24 13:04:51,2025-06-24 13:04:51,GTSTT,21,0.0
2651,80,21,-31.438018,-53.098126,-31.438018,-53.098126,1130.8,1130.8,1.0,2025-06-24 17:35:53,2025-06-24 17:35:53,GTSTT,21,0.0
2652,80,22,-31.438018,-53.098126,-31.438018,-53.098126,1130.8,1130.8,1.0,2025-06-24 17:37:18,2025-06-24 17:37:18,GTERI,21,0.0
2654,80,24,-31.43805,-53.098189,-31.438018,-53.098126,1130.8,1130.8,1.0,2025-06-24 17:39:16,2025-06-24 17:39:16,GTSTT,21,6.955931491095619
2657,80,27,-31.43805,-53.098189,-31.43805,-53.098189,1130.8,1130.8,1.0,2025-06-24 17:40:43,2025-06-24 17:40:43,GTSTT,21,0.0
2659,80,29,-31.43805,-53.098189,-31.43805,-53.098189,1130.8,1130.8,1.0,2025-06-24 17:42:02,2025-06-24 17:42:02,GTSTT,21,0.0
2660,80,30,-31.43805,-53.098189,-31.43805,-53.098189,1130.8,1130.8,1.0,2025-06-24 17:43:18,2025-06-24 17:43:17,GTERI,21,0.0
2661,80,31,-31.43805,-53.098189,-31.43805,-53.098189,1130.8,1130.8,1.0,2025-06-24 17:46:18,2025-06-24 17:46:17,GTERI,21,0.0
2830,82,11,-32.229437,-53.054104,-32.21898,-53.039846,1267.2,1265.4,1.900000000000091,2025-06-25 10:21:50,2025-06-25 10:21:51,GTSTT,21,1775.0724075242474
2831,82,12,-32.229437,-53.054104,-32.229437,-53.054104,1267.2,1267.2,1.900000000000091,2025-06-25 10:21:53,2025-06-25 10:21:52,GTERI,21,0.0
3179,94,5,-32.2277,-53.082088,-32.2277,-53.082088,1380.5,1380.5,0.0,2025-06-26 07:48:53,2025-06-26 07:48:54,GTSTT,21,0.0
3180,94,6,-32.2277,-53.082088,-32.2277,-53.082088,1380.5,1380.5,0.0,2025-06-26 07:50:47,2025-06-26 07:50:46,GTERI,21,0.0
