Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-06-27 11:30:40,2025-06-27 11:30:41,2025-06-27 11:02:54,867488060297271,17356,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11405,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:06:12,61:13:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:31:11,2025-06-27 11:31:11,2025-06-27 11:02:54,867488060297271,17357,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11404,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:06:42,61:13:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:31:16,,,867488060297271,17358,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27 11:31:40,2025-06-27 11:31:41,2025-06-27 11:02:54,867488060297271,17359,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11364,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:07:12,61:14:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:32:10,2025-06-27 11:32:11,2025-06-27 11:02:54,867488060297271,17360,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11364,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:07:42,61:14:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:32:41,2025-06-27 11:32:41,2025-06-27 11:02:54,867488060297271,17361,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11400,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:08:12,61:15:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:33:11,2025-06-27 11:33:11,2025-06-27 11:02:54,867488060297271,17362,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11402,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:08:42,61:15:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:33:16,,,867488060297271,17363,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27 11:33:41,2025-06-27 11:33:41,2025-06-27 11:02:54,867488060297271,17364,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11409,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:09:12,61:16:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:34:11,2025-06-27 11:34:11,2025-06-27 11:02:54,867488060297271,17365,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11418,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:09:42,61:16:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:34:40,2025-06-27 11:34:41,2025-06-27 11:02:54,867488060297271,17366,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11407,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:10:12,61:17:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:35:11,2025-06-27 11:35:11,2025-06-27 11:02:54,867488060297271,17367,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11408,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:10:42,61:17:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:35:16,,,867488060297271,17368,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27 11:35:41,2025-06-27 11:35:41,2025-06-27 11:02:54,867488060297271,17369,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11408,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:11:12,61:18:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:36:11,2025-06-27 11:36:11,2025-06-27 11:02:54,867488060297271,17370,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11415,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:11:42,61:18:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:36:41,2025-06-27 11:36:41,2025-06-27 11:02:54,867488060297271,17371,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11416,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:12:12,61:19:15,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:37:10,2025-06-27 11:37:11,2025-06-27 11:02:54,867488060297271,17372,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11416,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:12:42,61:19:45,-,-,0,-,,,,,4,3,0,0,10,
2025-06-27 11:37:16,,,867488060297271,17373,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-27 11:37:41,2025-06-27 11:37:41,2025-06-27 11:02:54,867488060297271,17374,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,0,11410,0,-,40,0,21,4,-,0,0.0,270,546,-23.329757,-51.17778,724,6,c4a7,07a71416,0.0,0.0,50:13:12,61:20:15,-,-,0,-,,,,,4,3,0,0,10,
