Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status,Distancia_km
2025-06-12 07:25:13,2025-06-12 07:25:12,2025-06-12 06:28:07,867488061317839,9255,GTVGN,0x09fe7fbf,,802003,0x0a04,0x0a14,100,14322,0,0,40,0,22,8,0000b6bd,0,0.0,181,545,-23.270322,-51.1678,724,6,0be3,000036ee,0.0,2174.3,0:00:00,0:33:03,-,-,0,-,,,,,,,,,,,
2025-06-12 07:25:13,2025-06-12 07:25:12,2025-06-12 06:28:07,867488061317839,9256,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,14322,0,0,40,0,22,8,-,0,0.0,181,545,-23.270322,-51.1678,724,6,0be3,000036ee,0.0,2174.3,0:00:00,0:33:03,-,-,0,-,,,,,,,,,,,
2025-06-12 07:25:43,,,867488061317839,9257,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:25:43,2025-06-12 07:25:42,2025-06-12 07:25:42,867488061317839,9258,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,14349,0,-,40,0,22,10,-,1,29.7,0,471,-23.266523,-51.141144,724,6,0be3,000036ee,2.8,2177.1,0:00:30,0:33:33,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:27:03,2025-06-12 07:27:02,2025-06-12 07:27:02,867488061317839,9259,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,14126,0,0,40,0,21,11,-,1,0.0,0,528,-23.265277,-51.138012,724,6,0be3,3805,3.2,2177.5,0:01:48,0:34:51,-,-,0,-,,,,,,,,,,,
2025-06-12 07:27:48,,,867488061317839,9260,HBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:27:53,2025-06-12 07:27:52,2025-06-12 07:27:52,867488061317839,9261,GTSTT,0x09fe7fbf,,802003,0x0a04,0x0a14,100,14217,0,0,40,0,22,12,-,1,0.0,288,531,-23.265283,-51.138064,724,6,0be3,3805,3.2,2177.5,0:02:39,0:35:42,-,-,0,-,,,,,,,,,,,
2025-06-12 07:28:32,2025-06-12 07:28:22,2025-06-12 07:28:20,867488061317839,9262,GTERI,0x09fe3fbf,0x00028102,802003,0x0a04,0x0a14,100,14046,0,-,40,0,22,12,-,1,46.3,182,502,-23.270569,-51.138369,724,6,0be3,3805,3.8,2178.1,0:03:09,0:36:12,-,-,0,-,,,,,1,900,0,0,10,,
2025-06-12 07:29:17,,,867488061317839,9263,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:29:17,,,867488061317839,9264,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-06-12 07:29:18,,,867488061317839,9265,ACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
