linha,Hodômetro_anterior,Hodômetro_atual,data_anterior,data_atual,tipo_mensagem_anterior,tipo_mensagem_atual,tipo_problema,Diferenca
35,3706.2,3706.2,2025-06-11 16:28:26,2025-06-11 17:28:26,GTERI,GTERI,ok,0.0
66,3706.2,3706.2,2025-06-11 17:28:26,2025-06-11 18:28:26,GTERI,GTERI,ok,0.0
97,3706.2,3706.2,2025-06-11 18:28:26,2025-06-11 19:28:26,GTERI,GTERI,ok,0.0
128,3706.2,3706.2,2025-06-11 19:28:26,2025-06-11 20:28:26,GTERI,GTERI,ok,0.0
159,3706.2,3706.2,2025-06-11 20:28:26,2025-06-11 21:28:26,GTERI,GTERI,ok,0.0
190,3706.2,3706.2,2025-06-11 21:28:26,2025-06-11 22:28:26,GTERI,GTERI,ok,0.0
221,3706.2,3706.2,2025-06-11 22:28:26,2025-06-11 23:28:26,GTERI,GTERI,ok,0.0
252,3706.2,3706.2,2025-06-11 23:28:26,2025-06-12 00:28:26,GTERI,GTERI,ok,0.0
283,3706.2,3706.2,2025-06-12 00:28:26,2025-06-12 01:28:26,GTERI,GTERI,ok,0.0
314,3706.2,3706.2,2025-06-12 01:28:26,2025-06-12 02:28:26,GTERI,GTERI,ok,0.0
336,3706.2,3706.2,2025-06-12 02:28:26,2025-06-12 03:13:11,GTERI,GTPDP,ok,0.0
337,3706.2,3706.2,2025-06-12 03:13:11,2025-06-12 03:28:26,GTPDP,GTERI,ok,0.0
338,3706.2,3706.2,2025-06-12 03:28:26,2025-06-12 03:28:26,GTERI,GTERI,ok,0.0
343,3706.2,3706.2,2025-06-12 03:28:26,2025-06-12 04:28:26,GTERI,GTERI,ok,0.0
345,3706.2,3706.2,2025-06-12 04:28:26,2025-06-12 05:05:26,GTERI,GTPDP,ok,0.0
347,3706.2,3706.2,2025-06-12 05:05:26,2025-06-12 05:07:55,GTPDP,GTPDP,ok,0.0
357,3706.2,3706.2,2025-06-12 05:07:55,2025-06-12 05:28:26,GTPDP,GTERI,ok,0.0
388,3706.2,3706.2,2025-06-12 05:28:26,2025-06-12 06:28:26,GTERI,GTERI,ok,0.0
410,3706.2,3706.2,2025-06-12 06:28:26,2025-06-12 07:09:33,GTERI,GTPDP,ok,0.0
420,3706.2,3706.2,2025-06-12 07:09:33,2025-06-12 07:28:26,GTPDP,GTERI,ok,0.0
451,3706.2,3706.2,2025-06-12 07:28:26,2025-06-12 08:28:26,GTERI,GTERI,ok,0.0
459,3706.2,3706.2,2025-06-12 08:28:26,2025-06-12 08:43:13,GTERI,GTSTT,ok,0.0
461,3706.2,3706.2,2025-06-12 08:43:13,2025-06-12 08:44:10,GTSTT,GTSTT,ok,0.0
466,3706.2,3706.2,2025-06-12 08:44:10,2025-06-12 08:53:36,GTSTT,GTSTT,ok,0.0
467,3706.2,3706.2,2025-06-12 08:53:36,2025-06-12 08:53:50,GTSTT,GTSTT,ok,0.0
470,3706.2,3706.2,2025-06-12 08:53:50,2025-06-12 08:56:32,GTSTT,GTSTT,ok,0.0
471,3706.2,3706.2,2025-06-12 08:56:32,2025-06-12 08:56:35,GTSTT,GTSTT,ok,0.0
474,3706.2,3706.2,2025-06-12 08:56:35,2025-06-12 09:00:19,GTSTT,GTSTT,ok,0.0
475,3706.2,3706.2,2025-06-12 09:00:19,2025-06-12 09:00:22,GTSTT,GTSTT,ok,0.0
490,3706.2,3706.2,2025-06-12 09:00:22,2025-06-12 09:28:26,GTSTT,GTERI,ok,0.0
521,3706.2,3706.2,2025-06-12 09:28:26,2025-06-12 10:28:26,GTERI,GTERI,ok,0.0
552,3706.2,3706.2,2025-06-12 10:28:26,2025-06-12 11:28:26,GTERI,GTERI,ok,0.0
569,3706.2,3706.2,2025-06-12 11:28:26,2025-06-12 12:02:11,GTERI,GTIGN,ok,0.0
570,3706.2,3706.2,2025-06-12 12:02:11,2025-06-12 12:02:11,GTIGN,GTSTT,ok,0.0
571,3706.2,3706.2,2025-06-12 12:02:11,2025-06-12 12:02:11,GTSTT,GTIGF,ok,0.0
572,3706.2,3706.2,2025-06-12 12:02:11,2025-06-12 12:02:11,GTIGF,GTSTT,ok,0.0
573,3706.2,3706.2,2025-06-12 12:02:11,2025-06-12 12:02:13,GTSTT,GTIGN,ok,0.0
574,3706.2,3706.2,2025-06-12 12:02:13,2025-06-12 12:02:13,GTIGN,GTSTT,ok,0.0
575,3706.2,3706.2,2025-06-12 12:02:13,2025-06-12 12:02:15,GTSTT,GTIGF,ok,0.0
576,3706.2,3706.2,2025-06-12 12:02:15,2025-06-12 12:02:15,GTIGF,GTSTT,ok,0.0
