linha,Hodômetro_anterior,Hodômetro_atual,data_anterior,data_atual,sequencia_anterior,sequencia_atual,tipo_mensagem_anterior,tipo_mensagem_atual,tipo_problema,Diferenca
23,230.8,230.8,2025-06-11 16:28:40,2025-06-11 17:04:15,2127.0,2145.0,GTPDP,GTERI,ok,0.0
28,230.8,230.8,2025-06-11 17:04:15,2025-06-11 17:09:39,2145.0,2148.0,GTERI,GTIGN,ok,0.0
29,230.8,230.8,2025-06-11 17:09:39,2025-06-11 17:09:39,2148.0,2149.0,GTIGN,GTSTT,ok,0.0
30,230.8,230.8,2025-06-11 17:09:39,2025-06-11 17:09:48,2149.0,2151.0,GTSTT,GTERI,ok,0.0
31,230.8,230.8,2025-06-11 17:09:48,2025-06-11 17:09:48,2151.0,2152.0,GTERI,GTIGL,ok,0.0
32,230.8,230.8,2025-06-11 17:09:48,2025-06-11 17:09:50,2152.0,2153.0,GTIGL,GTERI,ok,0.0
33,230.8,230.8,2025-06-11 17:09:50,2025-06-11 17:09:52,2153.0,2154.0,GTERI,GTERI,ok,0.0
34,230.8,230.9,2025-06-11 17:09:52,2025-06-11 17:10:03,2154.0,2155.0,GTERI,GTERI,ok,0.09999999999999432
35,230.9,231.0,2025-06-11 17:10:03,2025-06-11 17:10:07,2155.0,2156.0,GTERI,GTERI,ok,0.09999999999999432
27,231.0,231.0,2025-06-11 17:10:07,2025-06-11 17:10:09,2156.0,2157.0,GTERI,GTPDP,ok,0.0
36,231.0,231.0,2025-06-11 17:10:09,2025-06-11 17:10:10,2157.0,2158.0,GTPDP,GTERI,ok,0.0
37,231.0,231.0,2025-06-11 17:10:10,2025-06-11 17:10:13,2158.0,2159.0,GTERI,GTERI,ok,0.0
38,231.0,233.6,2025-06-11 17:10:13,2025-06-11 17:12:40,2159.0,2160.0,GTERI,GTBTC,ok,2.5999999999999943
39,233.6,233.6,2025-06-11 17:12:40,2025-06-11 17:12:47,2160.0,2161.0,GTBTC,GTERI,ok,0.0
42,233.6,234.8,2025-06-11 17:12:47,2025-06-11 17:15:09,2161.0,2164.0,GTERI,GTERI,ok,1.200000000000017
43,234.8,234.9,2025-06-11 17:15:09,2025-06-11 17:15:13,2164.0,2165.0,GTERI,GTERI,ok,0.09999999999999432
44,234.9,235.2,2025-06-11 17:15:13,2025-06-11 17:15:47,2165.0,2166.0,GTERI,GTERI,ok,0.29999999999998295
45,235.2,235.2,2025-06-11 17:15:47,2025-06-11 17:15:51,2166.0,2167.0,GTERI,GTERI,ok,0.0
46,235.2,235.2,2025-06-11 17:15:51,2025-06-11 17:15:52,2167.0,2168.0,GTERI,GTERI,ok,0.0
47,235.2,235.5,2025-06-11 17:15:52,2025-06-11 17:16:28,2168.0,2169.0,GTERI,GTERI,ok,0.30000000000001137
48,235.5,235.5,2025-06-11 17:16:28,2025-06-11 17:16:30,2169.0,2170.0,GTERI,GTERI,ok,0.0
49,235.5,235.9,2025-06-11 17:16:30,2025-06-11 17:17:02,2170.0,2171.0,GTERI,GTERI,ok,0.4000000000000057
50,235.9,235.9,2025-06-11 17:17:02,2025-06-11 17:17:05,2171.0,2172.0,GTERI,GTERI,ok,0.0
53,235.9,236.1,2025-06-11 17:17:05,2025-06-11 17:17:25,2172.0,2174.0,GTERI,GTERI,ok,0.19999999999998863
54,236.1,236.1,2025-06-11 17:17:25,2025-06-11 17:17:27,2174.0,2175.0,GTERI,GTERI,ok,0.0
55,236.1,236.1,2025-06-11 17:17:27,2025-06-11 17:17:27,2175.0,2176.0,GTERI,GTIGF,ok,0.0
56,236.1,236.1,2025-06-11 17:17:27,2025-06-11 17:17:27,2176.0,2177.0,GTIGF,GTSTT,ok,0.0
57,236.1,236.1,2025-06-11 17:17:27,2025-06-11 17:17:28,2177.0,2178.0,GTSTT,GTSTC,ok,0.0
58,236.1,236.1,2025-06-11 17:17:28,2025-06-11 17:17:28,2178.0,2179.0,GTSTC,GTERI,ok,0.0
59,236.1,236.1,2025-06-11 17:17:28,2025-06-11 17:17:28,2179.0,2180.0,GTERI,GTIGL,ok,0.0
60,236.1,236.1,2025-06-11 17:17:28,2025-06-11 17:18:11,2180.0,2181.0,GTIGL,GTSTT,ok,0.0
65,236.1,236.1,2025-06-11 17:18:11,2025-06-11 17:25:56,2181.0,2186.0,GTSTT,GTIGN,ok,0.0
66,236.1,236.1,2025-06-11 17:25:56,2025-06-11 17:25:56,2186.0,2187.0,GTIGN,GTSTT,ok,0.0
67,236.1,236.1,2025-06-11 17:25:56,2025-06-11 17:26:04,2187.0,2188.0,GTSTT,GTERI,ok,0.0
68,236.1,236.1,2025-06-11 17:26:04,2025-06-11 17:26:04,2188.0,2189.0,GTERI,GTIGL,ok,0.0
69,236.1,236.1,2025-06-11 17:26:04,2025-06-11 17:26:06,2189.0,2190.0,GTIGL,GTERI,ok,0.0
70,236.1,236.1,2025-06-11 17:26:06,2025-06-11 17:26:07,2190.0,2191.0,GTERI,GTERI,ok,0.0
71,236.1,236.1,2025-06-11 17:26:07,2025-06-11 17:26:10,2191.0,2192.0,GTERI,GTERI,ok,0.0
73,236.1,236.5,2025-06-11 17:26:10,2025-06-11 17:27:24,2192.0,2194.0,GTERI,GTERI,ok,0.4000000000000057
74,236.5,236.5,2025-06-11 17:27:24,2025-06-11 17:27:27,2194.0,2195.0,GTERI,GTERI,ok,0.0
75,236.5,237.1,2025-06-11 17:27:27,2025-06-11 17:28:58,2195.0,2196.0,GTERI,GTBTC,ok,0.5999999999999943
76,237.1,237.2,2025-06-11 17:28:58,2025-06-11 17:29:04,2196.0,2197.0,GTBTC,GTERI,ok,0.09999999999999432
78,237.2,237.4,2025-06-11 17:29:04,2025-06-11 17:29:27,2197.0,2199.0,GTERI,GTERI,ok,0.20000000000001705
79,237.4,237.4,2025-06-11 17:29:27,2025-06-11 17:29:28,2199.0,2200.0,GTERI,GTERI,ok,0.0
80,237.4,237.6,2025-06-11 17:29:28,2025-06-11 17:29:49,2200.0,2201.0,GTERI,GTIGF,ok,0.19999999999998863
81,237.6,237.6,2025-06-11 17:29:49,2025-06-11 17:29:49,2201.0,2202.0,GTIGF,GTSTT,ok,0.0
82,237.6,237.6,2025-06-11 17:29:49,2025-06-11 17:29:49,2202.0,2203.0,GTSTT,GTERI,ok,0.0
83,237.6,237.6,2025-06-11 17:29:49,2025-06-11 17:29:49,2203.0,2204.0,GTERI,GTIGL,ok,0.0
84,237.6,237.6,2025-06-11 17:29:49,2025-06-11 17:29:50,2204.0,2205.0,GTIGL,GTSTC,ok,0.0
85,237.6,237.6,2025-06-11 17:29:50,2025-06-11 17:30:31,2205.0,2206.0,GTSTC,GTSTT,ok,0.0
88,237.6,237.6,2025-06-11 17:30:31,2025-06-11 17:33:54,2206.0,2209.0,GTSTT,GTIGN,ok,0.0
89,237.6,237.6,2025-06-11 17:33:54,2025-06-11 17:33:54,2209.0,2210.0,GTIGN,GTSTT,ok,0.0
90,237.6,237.6,2025-06-11 17:33:54,2025-06-11 17:33:54,2210.0,2211.0,GTSTT,GTIGL,ok,0.0
91,237.6,237.6,2025-06-11 17:33:54,2025-06-11 17:33:58,2211.0,2212.0,GTIGL,GTERI,ok,0.0
93,237.6,238.4,2025-06-11 17:33:58,2025-06-11 17:35:22,2212.0,2214.0,GTERI,GTERI,ok,0.8000000000000114
94,238.4,238.4,2025-06-11 17:35:22,2025-06-11 17:35:24,2214.0,2215.0,GTERI,GTERI,ok,0.0
