Data/Hora Inclusão,Data/Hora Evento,GNSS UTC Time,IMEI,Sequência,Tipo Mensagem,Máscara Report,Máscara ERI,Tipo Dispositivo,Versão Protocolo,Versão Firmware,Bateria Interna,Alimentação Externa,Analog Input Mode,Analog Input1 Voltage,Digital Input Status,Digital Output Status,Motion Status,Satélites,Duração da Ignição,Precisão GNSS,Velocidade,Azimuth,Altitude,Latitude,Longitude,MCC,MNC,LAC,Cell ID,Hodômetro Atual,Hodômetro Total,Horímetro Atual,Horímetro Total,Motivo Power Off,Motivo Power On,ID,ID Report Type,Comando Customizado,Battery Status,Backup Battery Voltage,Network Type,RAT,Band,IGN Trigger Data,GNSS Trigger Type,Position Report Type,GNSS Signal Status
2025-08-29 14:31:31,2019-12-31 21:03:05,2025-08-18 05:35:07,867488068342780,77,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,9964,0000,0000,00,00,42,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0000,0000,0000,00000000,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:31,2020-01-01 02:05:19,2025-08-18 05:35:07,867488068342780,390,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,0,0000,0000,00,00,42,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0000,0000,0000,00000000,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:31,2025-08-29 13:56:26,2025-08-18 05:35:07,867488068342780,407,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10030,0000,0000,00,00,41,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0724,0006,c4a7,07a7140c,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:32,2025-08-29 14:10:45,2025-08-18 05:35:07,867488068342780,437,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10030,0000,0000,00,00,42,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0000,0000,0000,00000000,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:32,2025-08-29 14:12:33,2025-08-18 05:35:07,867488068342780,440,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10032,0000,0000,00,00,41,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0724,0006,c4a7,07a71434,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:33,2025-08-29 14:17:30,2025-08-18 05:35:07,867488068342780,450,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10012,0000,0000,00,00,42,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0724,0006,c4a7,07a7140c,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:33,2025-08-29 14:20:11,2025-08-18 05:35:07,867488068342780,460,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10030,0000,0000,00,00,42,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0000,0000,0000,00000000,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:34,2025-08-29 14:22:24,2025-08-18 05:35:07,867488068342780,467,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10013,0000,0000,00,00,42,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0724,0006,c4a7,07a71434,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:34,2025-08-29 14:27:13,2025-08-18 05:35:07,867488068342780,479,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,10031,0000,0000,00,00,41,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0724,0006,c4a7,07a7140c,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
2025-08-29 14:31:35,2025-08-29 14:30:05,2025-08-18 05:35:07,867488068342780,485,GTPDP,0x09fe7fbf,,802003,0x8302,0x010d,0,9973,0000,0000,00,00,41,7,-,00,0.0,0,65534,-4247.467243,-120.499911,0724,0006,c4a7,07a7140c,0.0,0.0,0:00:00,0:00:00,-,-,0,-,,,,,,,,,,
