Sequência,veiPlaca,Tipo Dispositivo,IMEI,GNSS UTC Time,Data/Hora Inclusão,Data/Hora Evento,Azimuth,delay,Latitude,Longitude,Satélites,GPS,Velocidade,Bateria (V),mrvlog,tdeID,Tipo Mensagem,Hodômetro Total
1,SUR6A68,385349,862689070242307,2025-06-11 23:58:56,2025-06-12 00:01:09.730,2025-06-12 00:01:09,65.00000,0,-23.50797,-47.60227,8,Válido,0,12908,0,760,Modo Econômico,1917.80
2,SUR6A68,385349,862689070242307,2025-06-12 00:58:51,2025-06-12 01:01:09.573,2025-06-12 01:01:09,65.00000,0,-23.50797,-47.60227,5,Válido,0,12908,0,760,Modo Econômico,1917.80
3,SUR6A68,385349,862689070242307,2025-06-12 01:59:07,2025-06-12 02:01:09.517,2025-06-12 02:01:09,65.00000,0,-23.50797,-47.60227,6,Válido,0,12892,0,760,Modo Econômico,1917.80
4,SUR6A68,385349,862689070242307,2025-06-12 03:58:46,2025-06-12 05:04:17.340,2025-06-12 04:01:05,187.00000,3792,-23.50832,-47.60270,6,Válido,0,12876,1,760,Modo Econômico,1917.80
5,SUR6A68,385349,862689070242307,2025-06-12 04:11:44,2025-06-12 05:04:19.970,2025-06-12 04:11:44,57.00000,3155,-23.50809,-47.60206,12,Válido,0,12748,1,760,Modo Econômico,1917.80
6,SUR6A68,385349,862689070242307,2025-06-12 04:22:45,2025-06-12 05:04:21.880,2025-06-12 04:22:45,354.00000,2496,-23.50777,-47.60199,9,Válido,0,12748,1,760,Modo Econômico,1917.80
7,SUR6A68,385349,862689070242307,2025-06-12 04:33:46,2025-06-12 05:04:23.920,2025-06-12 04:33:46,155.00000,1837,-23.50811,-47.60196,8,Válido,0,12756,1,760,Modo Econômico,1917.80
8,SUR6A68,385349,862689070242307,2025-06-12 04:44:50,2025-06-12 05:04:26.243,2025-06-12 04:44:51,61.00000,1175,-23.50799,-47.60174,11,Válido,0,12748,1,760,Modo Econômico,1917.80
9,SUR6A68,385349,862689070242307,2025-06-12 04:55:49,2025-06-12 05:04:31.450,2025-06-12 04:55:49,0.00000,522,-23.50810,-47.60192,7,Válido,0,12748,1,760,Modo Econômico,1917.80
10,SUR6A68,385349,862689070242307,2025-06-12 05:53:28,2025-06-12 05:56:47.947,2025-06-12 05:55:48,0.00000,59,-23.50810,-47.60192,8,Válido,0,12724,0,760,Modo Econômico,1917.80
11,SUR6A68,385349,862689070242307,2025-06-12 05:53:28,2025-06-12 06:04:38.840,2025-06-12 06:04:38,0.00000,0,-23.50810,-47.60192,8,Válido,0,11875,0,667,GTIGN,1917.80
12,SUR6A68,385349,862689070242307,2025-06-12 06:04:55,2025-06-12 06:04:55.783,2025-06-12 06:04:55,184.00000,0,-23.50693,-47.60160,7,Válido,3,13372,0,761,GTERI,1917.80
13,SUR6A68,385349,862689070242307,2025-06-12 06:07:48,2025-06-12 06:07:53.897,2025-06-12 06:07:53,72.00000,0,-23.50786,-47.60231,15,Válido,0,14141,0,761,GTERI,1917.90
14,SUR6A68,385349,862689070242307,2025-06-12 06:10:48,2025-06-12 06:10:53.887,2025-06-12 06:10:53,221.00000,0,-23.50575,-47.60586,13,Válido,28,14909,0,761,GTERI,1918.40
15,SUR6A68,385349,862689070242307,2025-06-12 06:13:48,2025-06-12 06:13:53.697,2025-06-12 06:13:53,240.00000,0,-23.51895,-47.59725,14,Válido,45,13084,0,761,GTERI,1920.60
16,SUR6A68,385349,862689070242307,2025-06-12 06:16:48,2025-06-12 06:16:53.863,2025-06-12 06:16:53,74.00000,0,-23.51000,-47.56114,18,Válido,79,12532,0,761,GTERI,1924.90
