bloco,ordem_no_bloco,latitude,longitude,data_hora,hodometro_atual,motion_status
1,1,-23.329657,-51.177714,2025-07-08 17:02:27,0.0,21.0
1,2,-23.329657,-51.177714,2025-07-08 17:04:56,0.0,21.0
1,3,-23.329657,-51.177714,2025-07-08 17:05:35,0.0,21.0
1,4,-23.329657,-51.177714,2025-07-08 17:08:35,0.0,21.0
1,5,-23.329657,-51.177714,2025-07-08 17:09:51,0.0,21.0
1,6,-23.329657,-51.177714,2025-07-08 17:11:35,0.0,21.0
1,7,-23.329657,-51.177714,2025-07-08 17:12:33,0.0,21.0
1,8,-23.329657,-51.177714,2025-07-08 17:14:35,0.0,21.0
1,9,-23.329657,-51.177714,2025-07-08 17:16:35,0.0,21.0
1,10,-23.329657,-51.177714,2025-07-08 17:18:21,0.0,21.0
1,11,-23.329657,-51.177714,2025-07-08 17:19:47,0.0,21.0
1,12,-23.329657,-51.177714,2025-07-08 17:19:47,0.0,21.0
1,13,-23.329657,-51.177714,2025-07-08 17:19:47,0.0,21.0
1,14,-23.329657,-51.177714,2025-07-08 17:19:47,0.0,21.0
1,15,-23.329657,-51.177714,2025-07-08 17:20:35,0.0,21.0
1,16,-23.329657,-51.177714,2025-07-08 17:23:35,0.0,21.0
1,17,-23.329657,-51.177714,2025-07-08 17:26:35,0.0,21.0
1,18,-23.329657,-51.177714,2025-07-08 17:28:44,0.0,21.0
1,19,-23.329912,-51.177049,2025-07-08 17:29:31,0.0,21.0
1,20,-23.329912,-51.177049,2025-07-08 17:29:36,0.0,21.0
1,21,-23.329912,-51.177049,2025-07-08 17:32:36,0.0,21.0
1,22,-23.329912,-51.177049,2025-07-08 17:35:35,0.0,21.0
1,23,-23.329912,-51.177049,2025-07-08 17:38:35,0.0,21.0
1,24,-23.329912,-51.177049,2025-07-08 17:39:45,0.0,21.0
1,25,-23.329912,-51.177049,2025-07-08 17:41:35,0.0,21.0
1,26,-23.329807,-51.177707,2025-07-08 17:43:28,0.1,21.0
1,27,-23.329894,-51.177661,2025-07-08 17:44:15,0.1,21.0
1,28,-23.329894,-51.177661,2025-07-08 17:44:15,0.1,21.0
1,29,-23.329894,-51.177661,2025-07-08 17:44:15,0.1,21.0
1,30,-23.329894,-51.177661,2025-07-08 17:44:15,0.1,21.0
1,31,-23.329894,-51.177661,2025-07-08 17:44:15,0.1,21.0
1,32,-23.329894,-51.177661,2025-07-08 17:44:15,0.1,21.0
1,33,-23.329943,-51.177671,2025-07-08 17:44:35,0.1,21.0
1,34,-23.329942,-51.177651,2025-07-08 17:47:35,0.1,21.0
1,35,-23.329942,-51.177651,2025-07-08 17:50:35,0.1,21.0
1,36,-23.329942,-51.177651,2025-07-08 17:53:35,0.1,21.0
1,37,-23.329942,-51.177651,2025-07-08 17:56:35,0.1,21.0
1,38,-23.329942,-51.177651,2025-07-08 17:59:35,0.1,21.0
1,39,-23.329942,-51.177651,2025-07-08 18:02:35,0.1,21.0
1,40,-23.329942,-51.177651,2025-07-08 18:05:35,0.1,21.0
1,41,-23.329942,-51.177651,2025-07-08 18:08:35,0.1,21.0
1,42,-23.329942,-51.177651,2025-07-08 18:11:35,0.1,21.0
1,43,-23.329942,-51.177651,2025-07-08 18:11:35,0.1,21.0
1,44,-23.329942,-51.177651,2025-07-08 18:14:35,0.1,21.0
1,45,-23.329942,-51.177651,2025-07-08 18:17:35,0.1,21.0
1,46,-23.329942,-51.177651,2025-07-08 18:17:35,0.1,21.0
1,47,-23.329942,-51.177651,2025-07-08 18:20:35,0.1,21.0
1,48,-23.329942,-51.177651,2025-07-08 18:23:35,0.1,21.0
1,49,-23.329942,-51.177651,2025-07-08 18:26:35,0.1,21.0
1,50,-23.329942,-51.177651,2025-07-08 18:29:35,0.1,21.0
1,51,-23.329942,-51.177651,2025-07-08 18:32:35,0.1,21.0
1,52,-23.329942,-51.177651,2025-07-08 18:35:35,0.1,21.0
1,53,-23.329942,-51.177651,2025-07-08 18:38:35,0.1,21.0
1,54,-23.329942,-51.177651,2025-07-08 18:41:35,0.1,21.0
1,55,-23.329942,-51.177651,2025-07-08 18:44:35,0.1,21.0
1,56,-23.329942,-51.177651,2025-07-08 18:47:35,0.1,21.0
1,57,-23.329942,-51.177651,2025-07-08 18:50:35,0.1,21.0
1,58,-23.329942,-51.177651,2025-07-08 18:53:35,0.1,21.0
1,59,-23.329942,-51.177651,2025-07-08 18:56:35,0.1,21.0
1,60,-23.329942,-51.177651,2025-07-08 18:59:35,0.1,21.0
1,61,-23.329942,-51.177651,2025-07-08 19:02:35,0.1,21.0
1,62,-23.329942,-51.177651,2025-07-08 19:05:35,0.1,21.0
1,63,-23.328564,-51.179861,2025-07-08 19:07:47,0.4,21.0
1,64,-23.328418,-51.180176,2025-07-08 19:08:35,0.5,21.0
1,65,-23.327429,-51.18189,2025-07-08 19:11:35,0.7,21.0
1,66,-23.326124,-51.183498,2025-07-08 19:14:35,0.9,21.0
1,67,-23.326124,-51.183498,2025-07-08 19:17:35,0.9,21.0
1,68,-23.326124,-51.183498,2025-07-08 19:20:35,0.9,21.0
1,69,-23.326124,-51.183498,2025-07-08 19:23:35,0.9,21.0
1,70,-23.326124,-51.183498,2025-07-08 19:26:35,0.9,21.0
1,71,-23.326124,-51.183498,2025-07-08 19:29:35,0.9,21.0
1,72,-23.326124,-51.183498,2025-07-08 19:32:35,0.9,21.0
