linha,sequencia_anterior,sequencia_atual,data_anterior,data_atual,tipo_mensagem_anterior,tipo_mensagem_atual,tipo_problema,Diferenca
8436,37030,37091,2025-06-11 16:28:26,2025-06-11 17:28:26,GTERI,GTERI,salto_na_sequencia,61
8467,37091,37152,2025-06-11 17:28:26,2025-06-11 18:28:26,GTERI,GTERI,salto_na_sequencia,61
8498,37152,37213,2025-06-11 18:28:26,2025-06-11 19:28:26,GTERI,GTERI,salto_na_sequencia,61
8529,37213,37274,2025-06-11 19:28:26,2025-06-11 20:28:26,GTERI,GTERI,salto_na_sequencia,61
8560,37274,37335,2025-06-11 20:28:26,2025-06-11 21:28:26,GTERI,GTERI,salto_na_sequencia,61
8591,37335,37396,2025-06-11 21:28:26,2025-06-11 22:28:26,GTERI,GTERI,salto_na_sequencia,61
8622,37396,37457,2025-06-11 22:28:26,2025-06-11 23:28:26,GTERI,GTERI,salto_na_sequencia,61
8653,37457,37518,2025-06-11 23:28:26,2025-06-12 00:28:26,GTERI,GTERI,salto_na_sequencia,61
8684,37518,37579,2025-06-12 00:28:26,2025-06-12 01:28:26,GTERI,GTERI,salto_na_sequencia,61
8715,37579,37640,2025-06-12 01:28:26,2025-06-12 02:28:26,GTERI,GTERI,salto_na_sequencia,61
8746,37640,37684,2025-06-12 02:28:26,2025-06-12 03:13:11,GTERI,GTPDP,salto_na_sequencia,44
8768,37684,37686,2025-06-12 03:13:11,2025-06-12 03:28:26,GTPDP,GTERI,salto_na_sequencia,2
8769,37686,37686,2025-06-12 03:28:26,2025-06-12 03:28:26,GTERI,GTERI,valor_repetido,0
8770,37686,37703,2025-06-12 03:28:26,2025-06-12 04:28:26,GTERI,GTERI,salto_na_sequencia,17
8774,37703,37720,2025-06-12 04:28:26,2025-06-12 05:05:26,GTERI,GTPDP,salto_na_sequencia,17
8776,37720,37723,2025-06-12 05:05:26,2025-06-12 05:07:55,GTPDP,GTPDP,salto_na_sequencia,3
8778,37723,37744,2025-06-12 05:07:55,2025-06-12 05:28:26,GTPDP,GTERI,salto_na_sequencia,21
8789,37744,37805,2025-06-12 05:28:26,2025-06-12 06:28:26,GTERI,GTERI,salto_na_sequencia,61
8820,37805,37848,2025-06-12 06:28:26,2025-06-12 07:09:33,GTERI,GTPDP,salto_na_sequencia,43
8842,37848,37867,2025-06-12 07:09:33,2025-06-12 07:28:26,GTPDP,GTERI,salto_na_sequencia,19
